model,episode,scenario,scenario_name,n_agents,block_exit,block_at_step,survived,escaped_A,escaped_B,dead,survival_rate,steps_taken,mean_panic,total_reward
astar,1,4,양방향 동시 위협,40,A,50,9,9,0,31,0.225,103,0.0,-1335.16
astar,2,4,양방향 동시 위협,40,A,50,40,10,30,0,1.0,91,0.0,895.46
astar,3,4,양방향 동시 위협,40,A,50,4,0,4,36,0.1,63,0.0,-1738.32
astar,4,4,양방향 동시 위협,40,A,50,37,0,37,3,0.925,95,0.0,718.93
astar,5,4,양방향 동시 위협,40,A,50,31,3,28,9,0.775,110,0.0,342.76
astar,6,4,양방향 동시 위협,40,A,50,20,14,6,20,0.5,99,0.0,-540.95
astar,7,4,양방향 동시 위협,40,A,50,40,21,19,0,1.0,139,0.0,881.09
astar,8,4,양방향 동시 위협,40,A,50,6,4,2,34,0.15,71,0.0,-1586.37
astar,9,4,양방향 동시 위협,40,A,50,3,1,2,37,0.075,67,0.0,-1813.84
astar,10,4,양방향 동시 위협,40,A,50,15,14,1,25,0.375,95,0.0,-906.19
astar,11,4,양방향 동시 위협,40,A,50,36,0,36,4,0.9,87,0.0,695.3
astar,12,4,양방향 동시 위협,40,A,50,38,3,35,2,0.95,111,0.0,780.27
astar,13,4,양방향 동시 위협,40,A,50,39,0,39,1,0.975,97,0.0,827.03
astar,14,4,양방향 동시 위협,40,A,50,15,11,4,25,0.375,86,0.0,-900.63
astar,15,4,양방향 동시 위협,40,A,50,35,6,29,5,0.875,92,0.0,599.41
astar,16,4,양방향 동시 위협,40,A,50,2,2,0,38,0.05,71,0.0,-1901.17
astar,17,4,양방향 동시 위협,40,A,50,4,3,1,36,0.1,87,0.0,-1726.39
astar,18,4,양방향 동시 위협,40,A,50,36,0,36,4,0.9,72,0.0,681.13
astar,19,4,양방향 동시 위협,40,A,50,19,19,0,21,0.475,101,0.0,-608.66
astar,20,4,양방향 동시 위협,40,A,50,9,1,8,31,0.225,81,0.0,-1352.86
astar,21,4,양방향 동시 위협,40,A,50,40,14,26,0,1.0,148,0.0,880.4
