model,episode,scenario,scenario_name,n_agents,block_exit,block_at_step,survived,escaped_A,escaped_B,dead,survival_rate,steps_taken,mean_panic,total_reward
astar,1,2,EXIT A 위협,40,A,50,26,3,23,14,0.65,126,0.0,-30.72
astar,2,2,EXIT A 위협,40,A,50,27,5,22,13,0.675,107,0.0,54.85
astar,3,2,EXIT A 위협,40,A,50,23,3,20,17,0.575,91,0.0,-315.5
astar,4,2,EXIT A 위협,40,A,50,31,2,29,9,0.775,137,0.0,324.08
astar,5,2,EXIT A 위협,40,A,50,28,2,26,12,0.7,94,0.0,99.48
astar,6,2,EXIT A 위협,40,A,50,29,3,26,11,0.725,111,0.0,200.33
astar,7,2,EXIT A 위협,40,A,50,37,4,33,3,0.925,91,0.0,766.88
astar,8,2,EXIT A 위협,40,A,50,38,3,35,2,0.95,87,0.0,805.61
astar,9,2,EXIT A 위협,40,A,50,35,6,29,5,0.875,134,0.0,632.55
astar,10,2,EXIT A 위협,40,A,50,39,2,37,1,0.975,102,0.0,835.63
astar,11,2,EXIT A 위협,40,A,50,33,2,31,7,0.825,102,0.0,482.08
astar,12,2,EXIT A 위협,40,A,50,37,1,36,3,0.925,82,0.0,751.22
astar,13,2,EXIT A 위협,40,A,50,34,0,34,6,0.85,76,0.0,510.37
astar,14,2,EXIT A 위협,40,A,50,38,1,37,2,0.95,88,0.0,786.11
astar,15,2,EXIT A 위협,40,A,50,26,5,21,14,0.65,124,0.0,-53.4
astar,16,2,EXIT A 위협,40,A,50,37,1,36,3,0.925,90,0.0,737.7
astar,17,2,EXIT A 위협,40,A,50,38,3,35,2,0.95,77,0.0,798.51
astar,18,2,EXIT A 위협,40,A,50,36,1,35,4,0.9,108,0.0,633.8
astar,19,2,EXIT A 위협,40,A,50,35,1,34,5,0.875,94,0.0,643.89
astar,20,2,EXIT A 위협,40,A,50,24,2,22,16,0.6,132,0.0,-216.44
astar,21,2,EXIT A 위협,40,A,50,31,3,28,9,0.775,108,0.0,346.09
astar,22,2,EXIT A 위협,40,A,50,37,1,36,3,0.925,86,0.0,763.84
astar,23,2,EXIT A 위협,40,A,50,39,1,38,1,0.975,97,0.0,857.15
astar,24,2,EXIT A 위협,40,A,50,33,2,31,7,0.825,79,0.0,472.79
astar,25,2,EXIT A 위협,40,A,50,34,0,34,6,0.85,86,0.0,548.47
astar,26,2,EXIT A 위협,40,A,50,29,5,24,11,0.725,101,0.0,165.8
astar,27,2,EXIT A 위협,40,A,50,22,3,19,18,0.55,114,0.0,-365.4
astar,28,2,EXIT A 위협,40,A,50,26,1,25,14,0.65,134,0.0,-49.88
astar,29,2,EXIT A 위협,40,A,50,31,3,28,9,0.775,128,0.0,361.51
astar,30,2,EXIT A 위협,40,A,50,29,3,26,11,0.725,123,0.0,183.03
ppo,1,2,EXIT A 위협,40,A,50,35,4,31,5,0.875,99,0.0,627.92
ppo,2,2,EXIT A 위협,40,A,50,38,12,26,2,0.95,164,0.0,788.47
ppo,3,2,EXIT A 위협,40,A,50,37,5,32,3,0.925,93,0.0,722.02
ppo,4,2,EXIT A 위협,40,A,50,36,7,29,4,0.9,127,0.0,742.22
ppo,5,2,EXIT A 위협,40,A,50,38,5,33,2,0.95,85,0.0,779.98
ppo,6,2,EXIT A 위협,40,A,50,38,4,34,2,0.95,114,0.0,812.06
ppo,7,2,EXIT A 위협,40,A,50,36,8,28,4,0.9,94,0.0,687.49
ppo,8,2,EXIT A 위협,40,A,50,40,4,36,0,1.0,80,0.0,959.26
ppo,9,2,EXIT A 위협,40,A,50,36,1,35,4,0.9,80,0.0,688.48
ppo,10,2,EXIT A 위협,40,A,50,37,1,36,3,0.925,87,0.0,759.59
ppo,11,2,EXIT A 위협,40,A,50,36,5,31,4,0.9,97,0.0,703.34
ppo,12,2,EXIT A 위협,40,A,50,34,1,33,6,0.85,89,0.0,527.21
ppo,13,2,EXIT A 위협,40,A,50,37,11,26,3,0.925,96,0.0,741.64
ppo,14,2,EXIT A 위협,40,A,50,38,10,28,2,0.95,88,0.0,794.83
ppo,15,2,EXIT A 위협,40,A,50,33,5,28,7,0.825,75,0.0,480.92
ppo,16,2,EXIT A 위협,40,A,50,34,4,30,6,0.85,82,0.0,542.29
ppo,17,2,EXIT A 위협,40,A,50,36,4,32,4,0.9,152,0.0,679.96
ppo,18,2,EXIT A 위협,40,A,50,33,1,32,7,0.825,96,0.0,493.4
ppo,19,2,EXIT A 위협,40,A,50,35,4,31,5,0.875,127,0.0,613.15
ppo,20,2,EXIT A 위협,40,A,50,32,1,31,8,0.8,85,0.0,402.17
ppo,21,2,EXIT A 위협,40,A,50,36,7,29,4,0.9,87,0.0,653.55
ppo,22,2,EXIT A 위협,40,A,50,37,4,33,3,0.925,79,0.0,770.71
ppo,23,2,EXIT A 위협,40,A,50,34,2,32,6,0.85,72,0.0,539.55
ppo,24,2,EXIT A 위협,40,A,50,39,4,35,1,0.975,122,0.0,881.23
ppo,25,2,EXIT A 위협,40,A,50,35,0,35,5,0.875,123,0.0,600.31
ppo,26,2,EXIT A 위협,40,A,50,36,2,34,4,0.9,88,0.0,700.34
ppo,27,2,EXIT A 위협,40,A,50,36,4,32,4,0.9,92,0.0,683.61
ppo,28,2,EXIT A 위협,40,A,50,31,1,30,9,0.775,123,0.0,311.77
ppo,29,2,EXIT A 위협,40,A,50,35,4,31,5,0.875,81,0.0,629.09
ppo,30,2,EXIT A 위협,40,A,50,39,3,36,1,0.975,86,0.0,860.84
