model,episode,scenario,scenario_name,n_agents,block_exit,block_at_step,survived,escaped_A,escaped_B,dead,survival_rate,steps_taken,mean_panic,total_reward
astar,1,3,진입로 차단,40,A,50,37,9,28,3,0.925,59,0.0,740.28
astar,2,3,진입로 차단,40,A,50,36,2,34,4,0.9,98,0.0,682.39
astar,3,3,진입로 차단,40,A,50,36,2,34,4,0.9,75,0.0,694.97
astar,4,3,진입로 차단,40,A,50,26,2,24,14,0.65,86,0.0,-30.52
astar,5,3,진입로 차단,40,A,50,34,3,31,6,0.85,99,0.0,548.66
astar,6,3,진입로 차단,40,A,50,30,7,23,10,0.75,77,0.0,225.37
astar,7,3,진입로 차단,40,A,50,29,0,29,11,0.725,91,0.0,166.82
astar,8,3,진입로 차단,40,A,50,27,2,25,13,0.675,81,0.0,36.43
astar,9,3,진입로 차단,40,A,50,35,3,32,5,0.875,89,0.0,640.53
astar,10,3,진입로 차단,40,A,50,36,4,32,4,0.9,88,0.0,693.68
astar,11,3,진입로 차단,40,A,50,31,2,29,9,0.775,82,0.0,330.04
astar,12,3,진입로 차단,40,A,50,34,2,32,6,0.85,85,0.0,559.3
astar,13,3,진입로 차단,40,A,50,35,5,30,5,0.875,87,0.0,612.76
astar,14,3,진입로 차단,40,A,50,36,4,32,4,0.9,77,0.0,709.91
astar,15,3,진입로 차단,40,A,50,34,3,31,6,0.85,80,0.0,541.82
astar,16,3,진입로 차단,40,A,50,35,4,31,5,0.875,91,0.0,624.67
astar,17,3,진입로 차단,40,A,50,36,3,33,4,0.9,77,0.0,697.98
astar,18,3,진입로 차단,40,A,50,36,7,29,4,0.9,84,0.0,700.2
astar,19,3,진입로 차단,40,A,50,37,3,34,3,0.925,86,0.0,762.96
astar,20,3,진입로 차단,40,A,50,26,1,25,14,0.65,83,0.0,-65.2
astar,21,3,진입로 차단,40,A,50,37,4,33,3,0.925,85,0.0,777.71
astar,22,3,진입로 차단,40,A,50,33,2,31,7,0.825,79,0.0,498.69
astar,23,3,진입로 차단,40,A,50,28,7,21,12,0.7,84,0.0,105.86
astar,24,3,진입로 차단,40,A,50,33,3,30,7,0.825,81,0.0,467.94
astar,25,3,진입로 차단,40,A,50,33,5,28,7,0.825,81,0.0,477.35
astar,26,3,진입로 차단,40,A,50,32,8,24,8,0.8,99,0.0,405.58
astar,27,3,진입로 차단,40,A,50,37,7,30,3,0.925,84,0.0,744.45
astar,28,3,진입로 차단,40,A,50,38,6,32,2,0.95,94,0.0,797.64
astar,29,3,진입로 차단,40,A,50,33,1,32,7,0.825,86,0.0,460.1
astar,30,3,진입로 차단,40,A,50,36,4,32,4,0.9,89,0.0,691.34
ppo,1,3,진입로 차단,40,A,50,30,3,27,10,0.75,97,0.0,263.12
ppo,2,3,진입로 차단,40,A,50,36,2,34,4,0.9,84,0.0,701.64
ppo,3,3,진입로 차단,40,A,50,29,2,27,11,0.725,88,0.0,177.4
ppo,4,3,진입로 차단,40,A,50,28,2,26,12,0.7,86,0.0,115.15
ppo,5,3,진입로 차단,40,A,50,33,2,31,7,0.825,85,0.0,486.88
ppo,6,3,진입로 차단,40,A,50,26,4,22,14,0.65,84,0.0,-74.85
ppo,7,3,진입로 차단,40,A,50,37,1,36,3,0.925,74,0.0,755.13
ppo,8,3,진입로 차단,40,A,50,32,3,29,8,0.8,74,0.0,394.89
ppo,9,3,진입로 차단,40,A,50,33,3,30,7,0.825,91,0.0,468.25
ppo,10,3,진입로 차단,40,A,50,34,4,30,6,0.85,95,0.0,544.79
ppo,11,3,진입로 차단,40,A,50,35,4,31,5,0.875,100,0.0,627.9
ppo,12,3,진입로 차단,40,A,50,31,8,23,9,0.775,79,0.0,308.66
ppo,13,3,진입로 차단,40,A,50,37,4,33,3,0.925,106,0.0,747.94
ppo,14,3,진입로 차단,40,A,50,40,4,36,0,1.0,60,0.0,925.19
ppo,15,3,진입로 차단,40,A,50,30,4,26,10,0.75,125,0.0,270.94
ppo,16,3,진입로 차단,40,A,50,31,4,27,9,0.775,81,0.0,324.66
ppo,17,3,진입로 차단,40,A,50,30,3,27,10,0.75,84,0.0,250.63
ppo,18,3,진입로 차단,40,A,50,32,7,25,8,0.8,71,0.0,384.83
ppo,19,3,진입로 차단,40,A,50,38,6,32,2,0.95,78,0.0,813.83
ppo,20,3,진입로 차단,40,A,50,29,3,26,11,0.725,76,0.0,173.02
ppo,21,3,진입로 차단,40,A,50,34,4,30,6,0.85,80,0.0,540.27
ppo,22,3,진입로 차단,40,A,50,33,1,32,7,0.825,91,0.0,497.21
ppo,23,3,진입로 차단,40,A,50,31,6,25,9,0.775,83,0.0,307.91
ppo,24,3,진입로 차단,40,A,50,34,1,33,6,0.85,93,0.0,561.28
ppo,25,3,진입로 차단,40,A,50,36,6,30,4,0.9,81,0.0,698.47
ppo,26,3,진입로 차단,40,A,50,32,4,28,8,0.8,79,0.0,405.86
ppo,27,3,진입로 차단,40,A,50,36,7,29,4,0.9,97,0.0,697.64
ppo,28,3,진입로 차단,40,A,50,36,5,31,4,0.9,75,0.0,705.82
ppo,29,3,진입로 차단,40,A,50,37,7,30,3,0.925,94,0.0,745.03
ppo,30,3,진입로 차단,40,A,50,33,1,32,7,0.825,75,0.0,470.8
