model,episode,scenario,scenario_name,n_agents,seed,survived,escaped_A,escaped_B,dead,survival_rate,steps_taken,mean_panic,total_reward,blocked_exits
astar,1,4,양방향 동시 위협,200,42,56,44,12,144,0.28,87,0.0,-6210.76,[]
astar,2,4,양방향 동시 위협,200,43,91,15,76,109,0.455,112,0.0,-3480.06,[]
astar,3,4,양방향 동시 위협,200,44,92,10,82,108,0.46,81,0.0,-3448.61,[]
astar,4,4,양방향 동시 위협,200,45,17,10,7,183,0.085,72,0.0,-9058.08,[]
astar,5,4,양방향 동시 위협,200,46,83,61,22,117,0.415,98,0.0,-4000.94,[]
astar,6,4,양방향 동시 위협,200,47,15,9,6,185,0.075,77,0.0,-9248.62,[]
astar,7,4,양방향 동시 위협,200,48,22,19,3,178,0.11,65,0.0,-8710.63,[]
astar,8,4,양방향 동시 위협,200,49,109,19,90,91,0.545,108,0.0,-2101.9,[]
ppo,1,4,양방향 동시 위협,200,42,71,58,13,129,0.355,131,0.0,-4902.45,[]
ppo,2,4,양방향 동시 위협,200,43,143,13,130,57,0.715,126,0.0,727.42,[]
ppo,3,4,양방향 동시 위협,200,44,112,11,101,88,0.56,119,0.0,-1680.0,[]
ppo,4,4,양방향 동시 위협,200,45,13,8,5,187,0.065,73,0.0,-9362.45,[]
ppo,5,4,양방향 동시 위협,200,46,83,59,24,117,0.415,118,0.0,-4044.03,[]
ppo,6,4,양방향 동시 위협,200,47,15,12,3,185,0.075,68,0.0,-9257.37,[]
ppo,7,4,양방향 동시 위협,200,48,21,19,2,179,0.105,71,0.0,-8774.14,[]
ppo,8,4,양방향 동시 위협,200,49,146,20,126,54,0.73,133,0.0,870.34,[]
