model,episode,scenario,scenario_name,n_agents,seed,survived,escaped_A,escaped_B,dead,survival_rate,steps_taken,mean_panic,total_reward,blocked_exits
astar,1,5,EXIT B 위협,40,42,36,28,8,4,0.9,95,0.0,677.56,[]
astar,2,5,EXIT B 위협,40,43,13,7,6,27,0.325,65,0.0,-1107.96,[]
astar,3,5,EXIT B 위협,40,44,35,32,3,5,0.875,78,0.0,593.74,[]
astar,4,5,EXIT B 위협,40,45,28,28,0,12,0.7,92,0.0,41.22,[]
astar,5,5,EXIT B 위협,40,46,32,22,10,8,0.8,94,0.0,351.31,[]
astar,6,5,EXIT B 위협,40,47,30,22,8,10,0.75,100,0.0,230.88,[]
astar,7,5,EXIT B 위협,40,48,35,30,5,5,0.875,95,0.0,602.59,[]
astar,8,5,EXIT B 위협,40,49,21,19,2,19,0.525,76,0.0,-477.71,[]
astar,9,5,EXIT B 위협,40,50,28,25,3,12,0.7,94,0.0,42.18,[]
astar,10,5,EXIT B 위협,40,51,32,21,11,8,0.8,89,0.0,367.0,[]
astar,11,5,EXIT B 위협,40,52,34,28,6,6,0.85,77,0.0,536.7,[]
astar,12,5,EXIT B 위협,40,53,17,11,6,23,0.425,98,0.0,-794.65,[]
astar,13,5,EXIT B 위협,40,54,21,17,4,19,0.525,90,0.0,-493.52,[]
astar,14,5,EXIT B 위협,40,55,10,8,2,30,0.25,102,0.0,-1323.2,[]
astar,15,5,EXIT B 위협,40,56,35,32,3,5,0.875,84,0.0,609.64,[]
astar,16,5,EXIT B 위협,40,57,15,6,9,25,0.375,79,0.0,-969.59,[]
astar,17,5,EXIT B 위협,40,58,27,24,3,13,0.675,87,0.0,-18.28,[]
astar,18,5,EXIT B 위협,40,59,33,22,11,7,0.825,85,0.0,440.85,[]
astar,19,5,EXIT B 위협,40,60,34,25,9,6,0.85,125,0.0,496.82,[]
astar,20,5,EXIT B 위협,40,61,9,4,5,31,0.225,58,0.0,-1402.75,[]
astar,21,5,EXIT B 위협,40,62,26,20,6,14,0.65,77,0.0,-102.91,[]
astar,22,5,EXIT B 위협,40,63,21,16,5,19,0.525,60,0.0,-475.1,[]
astar,23,5,EXIT B 위협,40,64,37,29,8,3,0.925,85,0.0,727.24,[]
astar,24,5,EXIT B 위협,40,65,27,22,5,13,0.675,71,0.0,-45.16,[]
astar,25,5,EXIT B 위협,40,66,19,17,2,21,0.475,55,0.0,-633.28,[]
astar,26,5,EXIT B 위협,40,67,32,27,5,8,0.8,81,0.0,371.97,[]
astar,27,5,EXIT B 위협,40,68,31,23,8,9,0.775,83,0.0,283.44,[]
astar,28,5,EXIT B 위협,40,69,19,14,5,21,0.475,73,0.0,-650.2,[]
astar,29,5,EXIT B 위협,40,70,31,25,6,9,0.775,79,0.0,293.63,[]
astar,30,5,EXIT B 위협,40,71,37,34,3,3,0.925,82,0.0,719.35,[]
ppo,1,5,EXIT B 위협,40,42,35,24,11,5,0.875,114,0.0,607.06,[]
ppo,2,5,EXIT B 위협,40,43,33,25,8,7,0.825,97,0.0,450.11,[]
ppo,3,5,EXIT B 위협,40,44,32,29,3,8,0.8,72,0.0,370.81,[]
ppo,4,5,EXIT B 위협,40,45,35,33,2,5,0.875,91,0.0,610.89,[]
ppo,5,5,EXIT B 위협,40,46,31,22,9,9,0.775,88,0.0,287.85,[]
ppo,6,5,EXIT B 위협,40,47,36,28,8,4,0.9,74,0.0,687.21,[]
ppo,7,5,EXIT B 위협,40,48,35,31,4,5,0.875,97,0.0,607.79,[]
ppo,8,5,EXIT B 위협,40,49,28,25,3,12,0.7,64,0.0,65.0,[]
ppo,9,5,EXIT B 위협,40,50,32,31,1,8,0.8,82,0.0,367.32,[]
ppo,10,5,EXIT B 위협,40,51,31,19,12,9,0.775,100,0.0,284.5,[]
ppo,11,5,EXIT B 위협,40,52,38,30,8,2,0.95,85,0.0,784.01,[]
ppo,12,5,EXIT B 위협,40,53,30,27,3,10,0.75,80,0.0,247.34,[]
ppo,13,5,EXIT B 위협,40,54,29,24,5,11,0.725,76,0.0,145.2,[]
ppo,14,5,EXIT B 위협,40,55,25,23,2,15,0.625,98,0.0,-145.06,[]
ppo,15,5,EXIT B 위협,40,56,32,30,2,8,0.8,75,0.0,394.2,[]
ppo,16,5,EXIT B 위협,40,57,31,23,8,9,0.775,128,0.0,302.15,[]
ppo,17,5,EXIT B 위협,40,58,32,25,7,8,0.8,141,0.0,355.22,[]
ppo,18,5,EXIT B 위협,40,59,34,23,11,6,0.85,72,0.0,520.06,[]
ppo,19,5,EXIT B 위협,40,60,36,26,10,4,0.9,73,0.0,671.51,[]
ppo,20,5,EXIT B 위협,40,61,32,28,4,8,0.8,83,0.0,390.28,[]
ppo,21,5,EXIT B 위협,40,62,29,25,4,11,0.725,97,0.0,136.81,[]
ppo,22,5,EXIT B 위협,40,63,34,27,7,6,0.85,106,0.0,530.76,[]
ppo,23,5,EXIT B 위협,40,64,39,27,12,1,0.975,82,0.0,837.57,[]
ppo,24,5,EXIT B 위협,40,65,31,23,8,9,0.775,83,0.0,271.84,[]
ppo,25,5,EXIT B 위협,40,66,26,25,1,14,0.65,64,0.0,-76.97,[]
ppo,26,5,EXIT B 위협,40,67,31,24,7,9,0.775,72,0.0,294.32,[]
ppo,27,5,EXIT B 위협,40,68,29,24,5,11,0.725,92,0.0,140.74,[]
ppo,28,5,EXIT B 위협,40,69,23,22,1,17,0.575,106,0.0,-326.86,[]
ppo,29,5,EXIT B 위협,40,70,32,28,4,8,0.8,79,0.0,370.86,[]
ppo,30,5,EXIT B 위협,40,71,32,29,3,8,0.8,71,0.0,351.73,[]
