model,episode,scenario,scenario_name,n_agents,seed,survived,escaped_A,escaped_B,dead,survival_rate,steps_taken,mean_panic,total_reward,blocked_exits
static,1,3,진입로 차단,40,42,21,5,16,19,0.525,62,0.0,-504.52,[]
static,2,3,진입로 차단,40,43,29,4,25,11,0.725,60,0.0,126.17,[]
static,3,3,진입로 차단,40,44,17,5,12,23,0.425,55,0.0,-819.78,[]
static,4,3,진입로 차단,40,45,17,5,12,23,0.425,71,0.0,-817.99,[]
static,5,3,진입로 차단,40,46,25,5,20,15,0.625,54,0.0,-204.44,[]
static,6,3,진입로 차단,40,47,19,2,17,21,0.475,46,0.0,-651.88,[]
static,7,3,진입로 차단,40,48,14,4,10,26,0.35,44,0.0,-1052.3,[]
static,8,3,진입로 차단,40,49,27,6,21,13,0.675,52,0.0,-44.61,[]
static,9,3,진입로 차단,40,50,21,5,16,19,0.525,76,0.0,-520.07,[]
static,10,3,진입로 차단,40,51,22,3,19,18,0.55,60,0.0,-442.85,[]
static,11,3,진입로 차단,40,52,19,4,15,21,0.475,57,0.0,-657.21,[]
static,12,3,진입로 차단,40,53,24,3,21,16,0.6,51,0.0,-269.23,[]
static,13,3,진입로 차단,40,54,20,3,17,20,0.5,63,0.0,-589.02,[]
static,14,3,진입로 차단,40,55,29,3,26,11,0.725,62,0.0,126.12,[]
static,15,3,진입로 차단,40,56,19,5,14,21,0.475,62,0.0,-663.89,[]
static,16,3,진입로 차단,40,57,36,2,34,4,0.9,70,0.0,659.17,[]
static,17,3,진입로 차단,40,58,23,3,20,17,0.575,45,0.0,-356.78,[]
static,18,3,진입로 차단,40,59,21,4,17,19,0.525,56,0.0,-506.1,[]
static,19,3,진입로 차단,40,60,23,6,17,17,0.575,46,0.0,-358.22,[]
static,20,3,진입로 차단,40,61,29,2,27,11,0.725,79,0.0,129.03,[]
static,21,3,진입로 차단,40,62,24,2,22,16,0.6,65,0.0,-278.06,[]
static,22,3,진입로 차단,40,63,19,0,19,21,0.475,65,0.0,-673.33,[]
static,23,3,진입로 차단,40,64,20,7,13,20,0.5,44,0.0,-580.81,[]
static,24,3,진입로 차단,40,65,25,7,18,15,0.625,43,0.0,-199.76,[]
static,25,3,진입로 차단,40,66,32,5,27,8,0.8,61,0.0,333.8,[]
static,26,3,진입로 차단,40,67,23,5,18,17,0.575,63,0.0,-355.27,[]
static,27,3,진입로 차단,40,68,26,6,20,14,0.65,51,0.0,-125.51,[]
static,28,3,진입로 차단,40,69,29,2,27,11,0.725,72,0.0,100.43,[]
static,29,3,진입로 차단,40,70,23,7,16,17,0.575,38,0.0,-358.64,[]
static,30,3,진입로 차단,40,71,18,9,9,22,0.45,69,0.0,-747.59,[]
