model,episode,scenario,scenario_name,n_agents,survived,escaped_A,escaped_B,dead,survival_rate,steps_taken,mean_panic,total_reward,blocked_exits
astar,1,5,EXIT B 위협,40,34,27,7,6,0.85,82,0.0,523.22,[]
astar,2,5,EXIT B 위협,40,39,29,10,1,0.975,110,0.0,828.36,[]
astar,3,5,EXIT B 위협,40,29,24,5,11,0.725,101,0.0,143.5,[]
astar,4,5,EXIT B 위협,40,38,28,10,2,0.95,109,0.0,781.37,[]
astar,5,5,EXIT B 위협,40,37,35,2,3,0.925,112,0.0,726.41,[]
astar,6,5,EXIT B 위협,40,29,27,2,11,0.725,92,0.0,159.87,[]
astar,7,5,EXIT B 위협,40,38,32,6,2,0.95,117,0.0,803.47,[]
astar,8,5,EXIT B 위협,40,31,31,0,9,0.775,89,0.0,282.54,[]
astar,9,5,EXIT B 위협,40,40,25,15,0,1.0,111,0.0,876.47,[]
astar,10,5,EXIT B 위협,40,38,34,4,2,0.95,103,0.0,817.92,[]
astar,11,5,EXIT B 위협,40,29,26,3,11,0.725,89,0.0,139.01,[]
astar,12,5,EXIT B 위협,40,30,30,0,10,0.75,103,0.0,226.55,[]
astar,13,5,EXIT B 위협,40,34,34,0,6,0.85,120,0.0,526.88,[]
astar,14,5,EXIT B 위협,40,37,34,3,3,0.925,133,0.0,740.97,[]
astar,15,5,EXIT B 위협,40,33,24,9,7,0.825,104,0.0,452.4,[]
astar,16,5,EXIT B 위협,40,32,31,1,8,0.8,129,0.0,386.0,[]
astar,17,5,EXIT B 위협,40,36,27,9,4,0.9,89,0.0,677.29,[]
astar,18,5,EXIT B 위협,40,26,23,3,14,0.65,142,0.0,-73.54,[]
astar,19,5,EXIT B 위협,40,34,26,8,6,0.85,87,0.0,519.59,[]
astar,20,5,EXIT B 위협,40,34,28,6,6,0.85,118,0.0,555.21,[]
astar,21,5,EXIT B 위협,40,32,30,2,8,0.8,104,0.0,369.04,[]
astar,22,5,EXIT B 위협,40,34,29,5,6,0.85,114,0.0,531.78,[]
astar,23,5,EXIT B 위협,40,35,30,5,5,0.875,77,0.0,586.7,[]
astar,24,5,EXIT B 위협,40,36,34,2,4,0.9,96,0.0,667.84,[]
astar,25,5,EXIT B 위협,40,29,25,4,11,0.725,113,0.0,145.98,[]
astar,26,5,EXIT B 위협,40,39,30,9,1,0.975,114,0.0,833.67,[]
astar,27,5,EXIT B 위협,40,30,27,3,10,0.75,125,0.0,232.78,[]
astar,28,5,EXIT B 위협,40,36,35,1,4,0.9,113,0.0,695.01,[]
astar,29,5,EXIT B 위협,40,34,34,0,6,0.85,106,0.0,530.09,[]
astar,30,5,EXIT B 위협,40,38,33,5,2,0.95,92,0.0,772.62,[]
ppo,1,5,EXIT B 위협,40,32,22,10,8,0.8,113,0.0,371.14,[]
ppo,2,5,EXIT B 위협,40,30,23,7,10,0.75,111,0.0,210.01,[]
ppo,3,5,EXIT B 위협,40,30,28,2,10,0.75,118,0.0,214.15,[]
ppo,4,5,EXIT B 위협,40,29,28,1,11,0.725,91,0.0,144.41,[]
ppo,5,5,EXIT B 위협,40,26,24,2,14,0.65,105,0.0,-73.78,[]
ppo,6,5,EXIT B 위협,40,26,25,1,14,0.65,111,0.0,-68.72,[]
ppo,7,5,EXIT B 위협,40,29,26,3,11,0.725,89,0.0,146.12,[]
ppo,8,5,EXIT B 위협,40,30,23,7,10,0.75,101,0.0,214.09,[]
ppo,9,5,EXIT B 위협,40,27,16,11,13,0.675,127,0.0,-15.34,[]
ppo,10,5,EXIT B 위협,40,33,29,4,7,0.825,99,0.0,439.32,[]
ppo,11,5,EXIT B 위협,40,31,24,7,9,0.775,114,0.0,288.48,[]
ppo,12,5,EXIT B 위협,40,29,16,13,11,0.725,104,0.0,150.13,[]
ppo,13,5,EXIT B 위협,40,32,29,3,8,0.8,105,0.0,376.19,[]
ppo,14,5,EXIT B 위협,40,25,22,3,15,0.625,132,0.0,-152.42,[]
ppo,15,5,EXIT B 위협,40,28,27,1,12,0.7,101,0.0,64.93,[]
ppo,16,5,EXIT B 위협,40,34,25,9,6,0.85,78,0.0,522.67,[]
ppo,17,5,EXIT B 위협,40,34,24,10,6,0.85,68,0.0,516.56,[]
ppo,18,5,EXIT B 위협,40,28,24,4,12,0.7,102,0.0,55.61,[]
ppo,19,5,EXIT B 위협,40,27,20,7,13,0.675,89,0.0,-3.52,[]
ppo,20,5,EXIT B 위협,40,28,24,4,12,0.7,102,0.0,52.43,[]
ppo,21,5,EXIT B 위협,40,33,29,4,7,0.825,106,0.0,454.61,[]
ppo,22,5,EXIT B 위협,40,29,26,3,11,0.725,97,0.0,134.95,[]
ppo,23,5,EXIT B 위협,40,29,29,0,11,0.725,131,0.0,147.37,[]
ppo,24,5,EXIT B 위협,40,28,26,2,12,0.7,110,0.0,106.94,[]
ppo,25,5,EXIT B 위협,40,30,25,5,10,0.75,92,0.0,192.25,[]
ppo,26,5,EXIT B 위협,40,34,28,6,6,0.85,94,0.0,513.16,[]
ppo,27,5,EXIT B 위협,40,33,30,3,7,0.825,125,0.0,461.94,[]
ppo,28,5,EXIT B 위협,40,28,23,5,12,0.7,86,0.0,82.9,[]
ppo,29,5,EXIT B 위협,40,29,29,0,11,0.725,85,0.0,120.11,[]
ppo,30,5,EXIT B 위협,40,30,23,7,10,0.75,118,0.0,216.33,[]
