model,episode,scenario,scenario_name,n_agents,seed,survived,escaped_A,escaped_B,dead,survival_rate,steps_taken,mean_panic,total_reward,blocked_exits
static,1,2,EXIT A 위협,40,42,33,8,25,7,0.825,90,0.0,456.55,[]
static,2,2,EXIT A 위협,40,43,35,3,32,5,0.875,108,0.0,607.95,[]
static,3,2,EXIT A 위협,40,44,27,1,26,13,0.675,119,0.0,-1.9,[]
static,4,2,EXIT A 위협,40,45,22,3,19,18,0.55,89,0.0,-379.95,[]
static,5,2,EXIT A 위협,40,46,36,3,33,4,0.9,104,0.0,690.06,[]
static,6,2,EXIT A 위협,40,47,33,3,30,7,0.825,96,0.0,464.38,[]
static,7,2,EXIT A 위협,40,48,30,2,28,10,0.75,82,0.0,227.8,[]
static,8,2,EXIT A 위협,40,49,36,6,30,4,0.9,99,0.0,660.19,[]
static,9,2,EXIT A 위협,40,50,34,10,24,6,0.85,76,0.0,513.74,[]
static,10,2,EXIT A 위협,40,51,38,4,34,2,0.95,90,0.0,815.04,[]
static,11,2,EXIT A 위협,40,52,33,1,32,7,0.825,110,0.0,471.82,[]
static,12,2,EXIT A 위협,40,53,37,12,25,3,0.925,115,0.0,725.73,[]
static,13,2,EXIT A 위협,40,54,30,6,24,10,0.75,100,0.0,207.43,[]
static,14,2,EXIT A 위협,40,55,38,6,32,2,0.95,121,0.0,782.2,[]
static,15,2,EXIT A 위협,40,56,30,4,26,10,0.75,99,0.0,231.19,[]
static,16,2,EXIT A 위협,40,57,37,1,36,3,0.925,94,0.0,716.34,[]
static,17,2,EXIT A 위협,40,58,34,8,26,6,0.85,64,0.0,502.03,[]
static,18,2,EXIT A 위협,40,59,33,3,30,7,0.825,87,0.0,448.14,[]
static,19,2,EXIT A 위협,40,60,31,4,27,9,0.775,67,0.0,288.76,[]
static,20,2,EXIT A 위협,40,61,37,0,37,3,0.925,94,0.0,724.3,[]
static,21,2,EXIT A 위협,40,62,36,1,35,4,0.9,98,0.0,678.46,[]
static,22,2,EXIT A 위협,40,63,33,2,31,7,0.825,80,0.0,459.65,[]
static,23,2,EXIT A 위협,40,64,25,3,22,15,0.625,118,0.0,-143.22,[]
static,24,2,EXIT A 위협,40,65,29,3,26,11,0.725,94,0.0,131.74,[]
static,25,2,EXIT A 위협,40,66,39,5,34,1,0.975,119,0.0,836.02,[]
static,26,2,EXIT A 위협,40,67,38,2,36,2,0.95,100,0.0,816.14,[]
static,27,2,EXIT A 위협,40,68,33,3,30,7,0.825,75,0.0,444.75,[]
static,28,2,EXIT A 위협,40,69,36,2,34,4,0.9,80,0.0,661.74,[]
static,29,2,EXIT A 위협,40,70,32,4,28,8,0.8,85,0.0,374.48,[]
static,30,2,EXIT A 위협,40,71,28,2,26,12,0.7,89,0.0,85.73,[]
