model,episode,scenario,scenario_name,n_agents,survived,escaped_A,escaped_B,dead,survival_rate,steps_taken,mean_panic,total_reward,blocked_exits
astar,1,3,진입로 차단,40,38,4,34,2,0.95,86,0.0,796.92,[]
astar,2,3,진입로 차단,40,26,4,22,14,0.65,85,0.0,-89.66,[]
astar,3,3,진입로 차단,40,35,3,32,5,0.875,80,0.0,596.81,[]
astar,4,3,진입로 차단,40,32,5,27,8,0.8,88,0.0,368.47,[]
astar,5,3,진입로 차단,40,32,4,28,8,0.8,80,0.0,366.51,[]
astar,6,3,진입로 차단,40,37,5,32,3,0.925,72,0.0,734.45,[]
astar,7,3,진입로 차단,40,36,4,32,4,0.9,100,0.0,697.46,[]
astar,8,3,진입로 차단,40,28,4,24,12,0.7,101,0.0,44.95,[]
astar,9,3,진입로 차단,40,31,9,22,9,0.775,75,0.0,281.01,[]
astar,10,3,진입로 차단,40,30,7,23,10,0.75,99,0.0,205.2,[]
astar,11,3,진입로 차단,40,34,5,29,6,0.85,77,0.0,500.61,[]
astar,12,3,진입로 차단,40,32,7,25,8,0.8,88,0.0,361.63,[]
astar,13,3,진입로 차단,40,37,6,31,3,0.925,88,0.0,751.51,[]
astar,14,3,진입로 차단,40,31,4,27,9,0.775,75,0.0,270.47,[]
astar,15,3,진입로 차단,40,32,7,25,8,0.8,82,0.0,373.95,[]
astar,16,3,진입로 차단,40,30,4,26,10,0.75,118,0.0,225.87,[]
astar,17,3,진입로 차단,40,35,5,30,5,0.875,78,0.0,593.61,[]
astar,18,3,진입로 차단,40,36,4,32,4,0.9,72,0.0,660.49,[]
astar,19,3,진입로 차단,40,31,3,28,9,0.775,81,0.0,296.71,[]
astar,20,3,진입로 차단,40,29,4,25,11,0.725,87,0.0,144.52,[]
astar,21,3,진입로 차단,40,35,1,34,5,0.875,99,0.0,625.28,[]
astar,22,3,진입로 차단,40,30,6,24,10,0.75,78,0.0,201.62,[]
astar,23,3,진입로 차단,40,37,3,34,3,0.925,88,0.0,732.01,[]
astar,24,3,진입로 차단,40,35,2,33,5,0.875,89,0.0,587.65,[]
astar,25,3,진입로 차단,40,30,3,27,10,0.75,76,0.0,225.44,[]
astar,26,3,진입로 차단,40,29,3,26,11,0.725,86,0.0,159.07,[]
astar,27,3,진입로 차단,40,27,4,23,13,0.675,74,0.0,-2.28,[]
astar,28,3,진입로 차단,40,31,3,28,9,0.775,86,0.0,303.71,[]
astar,29,3,진입로 차단,40,29,4,25,11,0.725,67,0.0,133.66,[]
astar,30,3,진입로 차단,40,33,3,30,7,0.825,76,0.0,452.64,[]
ppo,1,3,진입로 차단,40,34,9,25,6,0.85,86,0.0,521.62,[]
ppo,2,3,진입로 차단,40,35,7,28,5,0.875,96,0.0,576.54,[]
ppo,3,3,진입로 차단,40,35,4,31,5,0.875,82,0.0,599.03,[]
ppo,4,3,진입로 차단,40,35,4,31,5,0.875,96,0.0,606.58,[]
ppo,5,3,진입로 차단,40,33,1,32,7,0.825,92,0.0,463.41,[]
ppo,6,3,진입로 차단,40,33,4,29,7,0.825,82,0.0,431.9,[]
ppo,7,3,진입로 차단,40,32,3,29,8,0.8,81,0.0,368.73,[]
ppo,8,3,진입로 차단,40,34,4,30,6,0.85,77,0.0,514.19,[]
ppo,9,3,진입로 차단,40,35,8,27,5,0.875,90,0.0,578.69,[]
ppo,10,3,진입로 차단,40,34,3,31,6,0.85,79,0.0,526.0,[]
ppo,11,3,진입로 차단,40,32,7,25,8,0.8,72,0.0,366.08,[]
ppo,12,3,진입로 차단,40,37,1,36,3,0.925,92,0.0,740.99,[]
ppo,13,3,진입로 차단,40,34,4,30,6,0.85,71,0.0,486.47,[]
ppo,14,3,진입로 차단,40,29,8,21,11,0.725,68,0.0,128.07,[]
ppo,15,3,진입로 차단,40,38,3,35,2,0.95,84,0.0,790.38,[]
ppo,16,3,진입로 차단,40,38,3,35,2,0.95,67,0.0,786.2,[]
ppo,17,3,진입로 차단,40,35,4,31,5,0.875,76,0.0,610.38,[]
ppo,18,3,진입로 차단,40,34,2,32,6,0.85,80,0.0,535.92,[]
ppo,19,3,진입로 차단,40,33,2,31,7,0.825,78,0.0,455.5,[]
ppo,20,3,진입로 차단,40,37,6,31,3,0.925,108,0.0,732.02,[]
ppo,21,3,진입로 차단,40,34,6,28,6,0.85,61,0.0,507.86,[]
ppo,22,3,진입로 차단,40,33,4,29,7,0.825,86,0.0,460.32,[]
ppo,23,3,진입로 차단,40,36,7,29,4,0.9,99,0.0,675.11,[]
ppo,24,3,진입로 차단,40,35,7,28,5,0.875,89,0.0,582.48,[]
ppo,25,3,진입로 차단,40,33,6,27,7,0.825,95,0.0,425.17,[]
ppo,26,3,진입로 차단,40,26,3,23,14,0.65,75,0.0,-87.48,[]
ppo,27,3,진입로 차단,40,36,5,31,4,0.9,76,0.0,647.93,[]
ppo,28,3,진입로 차단,40,36,4,32,4,0.9,100,0.0,687.29,[]
ppo,29,3,진입로 차단,40,33,7,26,7,0.825,84,0.0,442.81,[]
ppo,30,3,진입로 차단,40,29,2,27,11,0.725,76,0.0,140.66,[]
