model,episode,scenario,scenario_name,n_agents,seed,survived,escaped_A,escaped_B,dead,survival_rate,steps_taken,mean_panic,total_reward,blocked_exits
astar,1,2,EXIT A 위협,40,42,18,7,11,22,0.45,79,0.0,-709.67,[]
astar,2,2,EXIT A 위협,40,43,24,5,19,16,0.6,86,0.0,-242.99,[]
astar,3,2,EXIT A 위협,40,44,9,1,8,31,0.225,105,0.0,-1425.32,[]
astar,4,2,EXIT A 위협,40,45,12,3,9,28,0.3,100,0.0,-1181.26,[]
astar,5,2,EXIT A 위협,40,46,24,2,22,16,0.6,63,0.0,-250.91,[]
astar,6,2,EXIT A 위협,40,47,16,6,10,24,0.4,63,0.0,-876.68,[]
astar,7,2,EXIT A 위협,40,48,8,2,6,32,0.2,97,0.0,-1519.23,[]
astar,8,2,EXIT A 위협,40,49,26,6,20,14,0.65,66,0.0,-98.77,[]
astar,9,2,EXIT A 위협,40,50,22,10,12,18,0.55,69,0.0,-406.39,[]
astar,10,2,EXIT A 위협,40,51,18,4,14,22,0.45,76,0.0,-726.21,[]
astar,11,2,EXIT A 위협,40,52,12,1,11,28,0.3,67,0.0,-1189.68,[]
astar,12,2,EXIT A 위협,40,53,40,8,32,0,1.0,90,0.0,901.79,[]
astar,13,2,EXIT A 위협,40,54,25,10,15,15,0.625,63,0.0,-192.51,[]
astar,14,2,EXIT A 위협,40,55,38,4,34,2,0.95,101,0.0,789.17,[]
astar,15,2,EXIT A 위협,40,56,15,5,10,25,0.375,80,0.0,-972.69,[]
astar,16,2,EXIT A 위협,40,57,38,3,35,2,0.95,74,0.0,773.64,[]
astar,17,2,EXIT A 위협,40,58,32,11,21,8,0.8,54,0.0,348.83,[]
astar,18,2,EXIT A 위협,40,59,17,2,15,23,0.425,48,0.0,-789.97,[]
astar,19,2,EXIT A 위협,40,60,17,4,13,23,0.425,50,0.0,-818.58,[]
astar,20,2,EXIT A 위협,40,61,38,2,36,2,0.95,93,0.0,793.21,[]
astar,21,2,EXIT A 위협,40,62,19,2,17,21,0.475,71,0.0,-650.98,[]
astar,22,2,EXIT A 위협,40,63,17,2,15,23,0.425,62,0.0,-794.35,[]
astar,23,2,EXIT A 위협,40,64,19,6,13,21,0.475,95,0.0,-626.23,[]
astar,24,2,EXIT A 위협,40,65,20,3,17,20,0.5,67,0.0,-579.35,[]
astar,25,2,EXIT A 위협,40,66,32,5,27,8,0.8,57,0.0,363.05,[]
astar,26,2,EXIT A 위협,40,67,18,2,16,22,0.45,80,0.0,-715.79,[]
astar,27,2,EXIT A 위협,40,68,22,3,19,18,0.55,55,0.0,-423.79,[]
astar,28,2,EXIT A 위협,40,69,28,2,26,12,0.7,108,0.0,22.63,[]
astar,29,2,EXIT A 위협,40,70,20,5,15,20,0.5,64,0.0,-552.11,[]
astar,30,2,EXIT A 위협,40,71,9,2,7,31,0.225,102,0.0,-1428.67,[]
ppo,1,2,EXIT A 위협,40,42,37,6,31,3,0.925,112,0.0,742.63,[]
ppo,2,2,EXIT A 위협,40,43,33,4,29,7,0.825,88,0.0,462.0,[]
ppo,3,2,EXIT A 위협,40,44,32,1,31,8,0.8,87,0.0,388.47,[]
ppo,4,2,EXIT A 위협,40,45,29,4,25,11,0.725,92,0.0,161.2,[]
ppo,5,2,EXIT A 위협,40,46,36,4,32,4,0.9,130,0.0,679.18,[]
ppo,6,2,EXIT A 위협,40,47,37,4,33,3,0.925,76,0.0,759.03,[]
ppo,7,2,EXIT A 위협,40,48,30,1,29,10,0.75,69,0.0,227.39,[]
ppo,8,2,EXIT A 위협,40,49,36,5,31,4,0.9,82,0.0,669.73,[]
ppo,9,2,EXIT A 위협,40,50,37,9,28,3,0.925,125,0.0,718.24,[]
ppo,10,2,EXIT A 위협,40,51,38,4,34,2,0.95,107,0.0,806.08,[]
ppo,11,2,EXIT A 위협,40,52,36,1,35,4,0.9,85,0.0,688.66,[]
ppo,12,2,EXIT A 위협,40,53,38,9,29,2,0.95,92,0.0,804.73,[]
ppo,13,2,EXIT A 위협,40,54,36,9,27,4,0.9,89,0.0,667.79,[]
ppo,14,2,EXIT A 위협,40,55,32,5,27,8,0.8,87,0.0,375.45,[]
ppo,15,2,EXIT A 위협,40,56,36,5,31,4,0.9,112,0.0,696.8,[]
ppo,16,2,EXIT A 위협,40,57,34,2,32,6,0.85,82,0.0,515.96,[]
ppo,17,2,EXIT A 위협,40,58,35,12,23,5,0.875,64,0.0,572.44,[]
ppo,18,2,EXIT A 위협,40,59,35,2,33,5,0.875,86,0.0,599.17,[]
ppo,19,2,EXIT A 위협,40,60,31,4,27,9,0.775,80,0.0,284.71,[]
ppo,20,2,EXIT A 위협,40,61,36,2,34,4,0.9,82,0.0,681.19,[]
ppo,21,2,EXIT A 위협,40,62,35,1,34,5,0.875,111,0.0,609.82,[]
ppo,22,2,EXIT A 위협,40,63,33,1,32,7,0.825,67,0.0,470.23,[]
ppo,23,2,EXIT A 위협,40,64,34,5,29,6,0.85,133,0.0,524.68,[]
ppo,24,2,EXIT A 위협,40,65,32,3,29,8,0.8,65,0.0,371.04,[]
ppo,25,2,EXIT A 위협,40,66,31,4,27,9,0.775,66,0.0,294.08,[]
ppo,26,2,EXIT A 위협,40,67,36,2,34,4,0.9,80,0.0,697.7,[]
ppo,27,2,EXIT A 위협,40,68,34,3,31,6,0.85,77,0.0,515.41,[]
ppo,28,2,EXIT A 위협,40,69,35,2,33,5,0.875,101,0.0,585.23,[]
ppo,29,2,EXIT A 위협,40,70,34,3,31,6,0.85,89,0.0,523.49,[]
ppo,30,2,EXIT A 위협,40,71,30,1,29,10,0.75,82,0.0,236.68,[]
