model,episode,scenario,scenario_name,n_agents,seed,survived,escaped_A,escaped_B,dead,survival_rate,steps_taken,mean_panic,total_reward,blocked_exits
astar,1,2,EXIT A 위협,40,42,31,6,25,9,0.775,154,0.0,321.51,[]
astar,2,2,EXIT A 위협,40,43,38,4,34,2,0.95,98,0.0,793.23,[]
astar,3,2,EXIT A 위협,40,44,14,1,13,26,0.35,116,0.0,-1032.4,[]
astar,4,2,EXIT A 위협,40,45,16,2,14,24,0.4,78,0.0,-852.73,[]
astar,5,2,EXIT A 위협,40,46,35,3,32,5,0.875,92,0.0,606.84,[]
astar,6,2,EXIT A 위협,40,47,28,5,23,12,0.7,117,0.0,69.51,[]
astar,7,2,EXIT A 위협,40,48,32,3,29,8,0.8,86,0.0,401.43,[]
astar,8,2,EXIT A 위협,40,49,39,9,30,1,0.975,111,0.0,822.89,[]
astar,9,2,EXIT A 위협,40,50,22,7,15,18,0.55,73,0.0,-395.02,[]
astar,10,2,EXIT A 위협,40,51,40,3,37,0,1.0,124,0.0,909.38,[]
astar,11,2,EXIT A 위협,40,52,33,1,32,7,0.825,88,0.0,490.95,[]
astar,12,2,EXIT A 위협,40,53,40,7,33,0,1.0,72,0.0,911.13,[]
astar,13,2,EXIT A 위협,40,54,26,9,17,14,0.65,109,0.0,-132.39,[]
astar,14,2,EXIT A 위협,40,55,37,5,32,3,0.925,125,0.0,715.54,[]
astar,15,2,EXIT A 위협,40,56,24,5,19,16,0.6,100,0.0,-241.56,[]
astar,16,2,EXIT A 위협,40,57,38,2,36,2,0.95,75,0.0,775.09,[]
astar,17,2,EXIT A 위협,40,58,37,8,29,3,0.925,89,0.0,713.3,[]
astar,18,2,EXIT A 위협,40,59,29,1,28,11,0.725,125,0.0,145.72,[]
astar,19,2,EXIT A 위협,40,60,33,4,29,7,0.825,91,0.0,445.39,[]
astar,20,2,EXIT A 위협,40,61,38,1,37,2,0.95,74,0.0,795.61,[]
astar,21,2,EXIT A 위협,40,62,34,2,32,6,0.85,113,0.0,526.72,[]
astar,22,2,EXIT A 위협,40,63,36,2,34,4,0.9,72,0.0,695.8,[]
astar,23,2,EXIT A 위협,40,64,26,7,19,14,0.65,142,0.0,-65.29,[]
astar,24,2,EXIT A 위협,40,65,30,3,27,10,0.75,89,0.0,214.59,[]
astar,25,2,EXIT A 위협,40,66,38,5,33,2,0.95,85,0.0,784.26,[]
astar,26,2,EXIT A 위협,40,67,36,2,34,4,0.9,99,0.0,698.87,[]
astar,27,2,EXIT A 위협,40,68,35,3,32,5,0.875,80,0.0,603.72,[]
astar,28,2,EXIT A 위협,40,69,37,2,35,3,0.925,83,0.0,716.72,[]
astar,29,2,EXIT A 위협,40,70,22,3,19,18,0.55,115,0.0,-403.02,[]
astar,30,2,EXIT A 위협,40,71,26,1,25,14,0.65,98,0.0,-65.3,[]
ppo,1,2,EXIT A 위협,40,42,37,6,31,3,0.925,112,0.0,742.63,[]
ppo,2,2,EXIT A 위협,40,43,33,4,29,7,0.825,88,0.0,462.0,[]
ppo,3,2,EXIT A 위협,40,44,32,1,31,8,0.8,87,0.0,388.47,[]
ppo,4,2,EXIT A 위협,40,45,29,4,25,11,0.725,92,0.0,161.2,[]
ppo,5,2,EXIT A 위협,40,46,36,4,32,4,0.9,130,0.0,679.18,[]
ppo,6,2,EXIT A 위협,40,47,37,4,33,3,0.925,76,0.0,759.03,[]
ppo,7,2,EXIT A 위협,40,48,30,1,29,10,0.75,69,0.0,227.39,[]
ppo,8,2,EXIT A 위협,40,49,36,5,31,4,0.9,82,0.0,669.73,[]
ppo,9,2,EXIT A 위협,40,50,37,9,28,3,0.925,125,0.0,718.24,[]
ppo,10,2,EXIT A 위협,40,51,38,4,34,2,0.95,107,0.0,806.08,[]
ppo,11,2,EXIT A 위협,40,52,36,1,35,4,0.9,85,0.0,688.66,[]
ppo,12,2,EXIT A 위협,40,53,38,9,29,2,0.95,92,0.0,804.73,[]
ppo,13,2,EXIT A 위협,40,54,36,9,27,4,0.9,89,0.0,667.79,[]
ppo,14,2,EXIT A 위협,40,55,32,5,27,8,0.8,87,0.0,375.45,[]
ppo,15,2,EXIT A 위협,40,56,36,5,31,4,0.9,112,0.0,696.8,[]
ppo,16,2,EXIT A 위협,40,57,34,2,32,6,0.85,82,0.0,515.96,[]
ppo,17,2,EXIT A 위협,40,58,35,12,23,5,0.875,64,0.0,572.44,[]
ppo,18,2,EXIT A 위협,40,59,35,2,33,5,0.875,86,0.0,599.17,[]
ppo,19,2,EXIT A 위협,40,60,31,4,27,9,0.775,80,0.0,284.71,[]
ppo,20,2,EXIT A 위협,40,61,36,2,34,4,0.9,82,0.0,681.19,[]
ppo,21,2,EXIT A 위협,40,62,35,1,34,5,0.875,111,0.0,609.82,[]
ppo,22,2,EXIT A 위협,40,63,33,1,32,7,0.825,67,0.0,470.23,[]
ppo,23,2,EXIT A 위협,40,64,34,5,29,6,0.85,133,0.0,524.68,[]
ppo,24,2,EXIT A 위협,40,65,32,3,29,8,0.8,65,0.0,371.04,[]
ppo,25,2,EXIT A 위협,40,66,31,4,27,9,0.775,66,0.0,294.08,[]
ppo,26,2,EXIT A 위협,40,67,36,2,34,4,0.9,80,0.0,697.7,[]
ppo,27,2,EXIT A 위협,40,68,34,3,31,6,0.85,77,0.0,515.41,[]
ppo,28,2,EXIT A 위협,40,69,35,2,33,5,0.875,101,0.0,585.23,[]
ppo,29,2,EXIT A 위협,40,70,34,3,31,6,0.85,89,0.0,523.49,[]
ppo,30,2,EXIT A 위협,40,71,30,1,29,10,0.75,82,0.0,236.68,[]
