model,episode,scenario,scenario_name,n_agents,survived,escaped_A,escaped_B,dead,survival_rate,steps_taken,mean_panic,total_reward,blocked_exits
astar,1,2,EXIT A 위협,40,15,2,13,25,0.375,137,0.0,-938.49,[]
astar,2,2,EXIT A 위협,40,35,2,33,5,0.875,88,0.0,591.26,[]
astar,3,2,EXIT A 위협,40,39,5,34,1,0.975,98,0.0,870.98,[]
astar,4,2,EXIT A 위협,40,36,6,30,4,0.9,83,0.0,681.1,[]
astar,5,2,EXIT A 위협,40,31,4,27,9,0.775,106,0.0,295.68,[]
astar,6,2,EXIT A 위협,40,36,2,34,4,0.9,88,0.0,681.64,[]
astar,7,2,EXIT A 위협,40,30,7,23,10,0.75,128,0.0,239.43,[]
astar,8,2,EXIT A 위협,40,21,0,21,19,0.525,135,0.0,-455.8,[]
astar,9,2,EXIT A 위협,40,34,3,31,6,0.85,83,0.0,509.06,[]
astar,10,2,EXIT A 위협,40,30,2,28,10,0.75,101,0.0,242.8,[]
astar,11,2,EXIT A 위협,40,26,9,17,14,0.65,130,0.0,-74.35,[]
astar,12,2,EXIT A 위협,40,40,2,38,0,1.0,105,0.0,907.33,[]
astar,13,2,EXIT A 위협,40,34,4,30,6,0.85,81,0.0,503.6,[]
astar,14,2,EXIT A 위협,40,36,4,32,4,0.9,116,0.0,693.34,[]
astar,15,2,EXIT A 위협,40,35,5,30,5,0.875,92,0.0,627.11,[]
astar,16,2,EXIT A 위협,40,26,9,17,14,0.65,126,0.0,-71.59,[]
astar,17,2,EXIT A 위협,40,23,4,19,17,0.575,114,0.0,-309.44,[]
astar,18,2,EXIT A 위협,40,24,10,14,16,0.6,106,0.0,-269.07,[]
astar,19,2,EXIT A 위협,40,29,4,25,11,0.725,140,0.0,171.53,[]
astar,20,2,EXIT A 위협,40,37,3,34,3,0.925,83,0.0,712.47,[]
astar,21,2,EXIT A 위협,40,35,3,32,5,0.875,120,0.0,620.48,[]
astar,22,2,EXIT A 위협,40,24,3,21,16,0.6,123,0.0,-243.99,[]
astar,23,2,EXIT A 위협,40,39,4,35,1,0.975,99,0.0,832.05,[]
astar,24,2,EXIT A 위협,40,36,5,31,4,0.9,95,0.0,654.16,[]
astar,25,2,EXIT A 위협,40,36,1,35,4,0.9,119,0.0,668.31,[]
astar,26,2,EXIT A 위협,40,26,1,25,14,0.65,139,0.0,-82.59,[]
astar,27,2,EXIT A 위협,40,24,5,19,16,0.6,120,0.0,-241.55,[]
astar,28,2,EXIT A 위협,40,34,0,34,6,0.85,129,0.0,540.1,[]
astar,29,2,EXIT A 위협,40,33,5,28,7,0.825,106,0.0,474.16,[]
astar,30,2,EXIT A 위협,40,24,5,19,16,0.6,113,0.0,-240.13,[]
ppo,1,2,EXIT A 위협,40,35,1,34,5,0.875,88,0.0,609.87,[]
ppo,2,2,EXIT A 위협,40,36,2,34,4,0.9,108,0.0,676.91,[]
ppo,3,2,EXIT A 위협,40,36,2,34,4,0.9,111,0.0,672.81,[]
ppo,4,2,EXIT A 위협,40,31,3,28,9,0.775,83,0.0,305.56,[]
ppo,5,2,EXIT A 위협,40,38,2,36,2,0.95,94,0.0,823.4,[]
ppo,6,2,EXIT A 위협,40,36,10,26,4,0.9,73,0.0,672.73,[]
ppo,7,2,EXIT A 위협,40,34,4,30,6,0.85,90,0.0,509.17,[]
ppo,8,2,EXIT A 위협,40,35,3,32,5,0.875,70,0.0,606.19,[]
ppo,9,2,EXIT A 위협,40,37,0,37,3,0.925,93,0.0,702.96,[]
ppo,10,2,EXIT A 위협,40,37,4,33,3,0.925,81,0.0,733.84,[]
ppo,11,2,EXIT A 위협,40,32,5,27,8,0.8,74,0.0,369.59,[]
ppo,12,2,EXIT A 위협,40,35,1,34,5,0.875,90,0.0,593.96,[]
ppo,13,2,EXIT A 위협,40,35,3,32,5,0.875,97,0.0,639.88,[]
ppo,14,2,EXIT A 위협,40,34,2,32,6,0.85,79,0.0,546.19,[]
ppo,15,2,EXIT A 위협,40,32,4,28,8,0.8,108,0.0,392.73,[]
ppo,16,2,EXIT A 위협,40,37,6,31,3,0.925,103,0.0,758.25,[]
ppo,17,2,EXIT A 위협,40,38,3,35,2,0.95,108,0.0,805.29,[]
ppo,18,2,EXIT A 위협,40,35,9,26,5,0.875,111,0.0,630.74,[]
ppo,19,2,EXIT A 위협,40,38,6,32,2,0.95,98,0.0,799.02,[]
ppo,20,2,EXIT A 위협,40,37,5,32,3,0.925,97,0.0,742.4,[]
ppo,21,2,EXIT A 위협,40,36,2,34,4,0.9,95,0.0,682.16,[]
ppo,22,2,EXIT A 위협,40,36,8,28,4,0.9,103,0.0,708.48,[]
ppo,23,2,EXIT A 위협,40,37,3,34,3,0.925,80,0.0,736.29,[]
ppo,24,2,EXIT A 위협,40,37,3,34,3,0.925,104,0.0,743.49,[]
ppo,25,2,EXIT A 위협,40,36,2,34,4,0.9,110,0.0,691.96,[]
ppo,26,2,EXIT A 위협,40,36,2,34,4,0.9,87,0.0,672.86,[]
ppo,27,2,EXIT A 위협,40,33,1,32,7,0.825,94,0.0,439.03,[]
ppo,28,2,EXIT A 위협,40,34,11,23,6,0.85,100,0.0,533.06,[]
ppo,29,2,EXIT A 위협,40,37,1,36,3,0.925,98,0.0,755.09,[]
ppo,30,2,EXIT A 위협,40,34,4,30,6,0.85,80,0.0,519.84,[]
