model,episode,scenario,scenario_name,n_agents,survived,escaped_A,escaped_B,dead,survival_rate,steps_taken,mean_panic,total_reward,blocked_exits
astar,1,4,양방향 동시 위협,40,39,2,37,1,0.975,72,0.0,831.33,[]
astar,2,4,양방향 동시 위협,40,35,31,4,5,0.875,84,0.0,588.4,[]
astar,3,4,양방향 동시 위협,40,30,20,10,10,0.75,98,0.0,191.14,[]
astar,4,4,양방향 동시 위협,40,3,3,0,37,0.075,58,0.0,-1829.94,[]
astar,5,4,양방향 동시 위협,40,40,28,12,0,1.0,92,0.0,891.19,[]
astar,6,4,양방향 동시 위협,40,37,4,33,3,0.925,129,0.0,718.11,[]
astar,7,4,양방향 동시 위협,40,16,10,6,24,0.4,60,0.0,-844.6,[]
astar,8,4,양방향 동시 위협,40,36,3,33,4,0.9,81,0.0,658.02,[]
astar,9,4,양방향 동시 위협,40,16,5,11,24,0.4,60,0.0,-835.27,[]
astar,10,4,양방향 동시 위협,40,40,28,12,0,1.0,93,0.0,895.95,[]
astar,11,4,양방향 동시 위협,40,40,5,35,0,1.0,78,0.0,879.48,[]
astar,12,4,양방향 동시 위협,40,33,1,32,7,0.825,81,0.0,452.61,[]
astar,13,4,양방향 동시 위협,40,8,5,3,32,0.2,80,0.0,-1427.6,[]
astar,14,4,양방향 동시 위협,40,40,9,31,0,1.0,87,0.0,886.4,[]
astar,15,4,양방향 동시 위협,40,37,36,1,3,0.925,99,0.0,723.39,[]
astar,16,4,양방향 동시 위협,40,5,1,4,35,0.125,49,0.0,-1674.49,[]
astar,17,4,양방향 동시 위협,40,37,3,34,3,0.925,72,0.0,720.35,[]
astar,18,4,양방향 동시 위협,40,10,2,8,30,0.25,65,0.0,-1284.1,[]
astar,19,4,양방향 동시 위협,40,11,4,7,29,0.275,88,0.0,-1196.66,[]
astar,20,4,양방향 동시 위협,40,2,0,2,38,0.05,56,0.0,-1896.62,[]
astar,21,4,양방향 동시 위협,40,29,26,3,11,0.725,83,0.0,153.28,[]
astar,22,4,양방향 동시 위협,40,5,0,5,35,0.125,66,0.0,-1693.82,[]
astar,23,4,양방향 동시 위협,40,8,6,2,32,0.2,63,0.0,-1443.43,[]
astar,24,4,양방향 동시 위협,40,40,4,36,0,1.0,77,0.0,894.05,[]
astar,25,4,양방향 동시 위협,40,36,3,33,4,0.9,70,0.0,656.19,[]
astar,26,4,양방향 동시 위협,40,3,3,0,37,0.075,60,0.0,-1830.58,[]
astar,27,4,양방향 동시 위협,40,8,2,6,32,0.2,71,0.0,-1468.13,[]
astar,28,4,양방향 동시 위협,40,27,27,0,13,0.675,92,0.0,-20.54,[]
astar,29,4,양방향 동시 위협,40,5,5,0,35,0.125,67,0.0,-1671.55,[]
astar,30,4,양방향 동시 위협,40,40,34,6,0,1.0,84,0.0,880.93,[]
ppo,1,4,양방향 동시 위협,40,8,4,4,32,0.2,58,0.0,-1461.17,[]
ppo,2,4,양방향 동시 위협,40,19,10,9,21,0.475,61,0.0,-617.67,[]
ppo,3,4,양방향 동시 위협,40,40,20,20,0,1.0,78,0.0,926.51,[]
ppo,4,4,양방향 동시 위협,40,32,25,7,8,0.8,68,0.0,360.57,[]
ppo,5,4,양방향 동시 위협,40,32,4,28,8,0.8,70,0.0,364.75,[]
ppo,6,4,양방향 동시 위협,40,40,23,17,0,1.0,80,0.0,879.14,[]
ppo,7,4,양방향 동시 위협,40,15,4,11,25,0.375,50,0.0,-922.54,[]
ppo,8,4,양방향 동시 위협,40,40,15,25,0,1.0,87,0.0,902.76,[]
ppo,9,4,양방향 동시 위협,40,21,8,13,19,0.525,66,0.0,-459.29,[]
ppo,10,4,양방향 동시 위협,40,11,1,10,29,0.275,63,0.0,-1213.03,[]
ppo,11,4,양방향 동시 위협,40,32,27,5,8,0.8,77,0.0,367.83,[]
ppo,12,4,양방향 동시 위협,40,9,7,2,31,0.225,80,0.0,-1377.87,[]
ppo,13,4,양방향 동시 위협,40,34,29,5,6,0.85,81,0.0,522.78,[]
ppo,14,4,양방향 동시 위협,40,5,1,4,35,0.125,65,0.0,-1668.52,[]
ppo,15,4,양방향 동시 위협,40,4,3,1,36,0.1,58,0.0,-1757.49,[]
ppo,16,4,양방향 동시 위협,40,40,24,16,0,1.0,91,0.0,903.31,[]
ppo,17,4,양방향 동시 위협,40,3,3,0,37,0.075,50,0.0,-1851.59,[]
ppo,18,4,양방향 동시 위협,40,9,5,4,31,0.225,56,0.0,-1369.27,[]
ppo,19,4,양방향 동시 위협,40,34,4,30,6,0.85,124,0.0,511.46,[]
ppo,20,4,양방향 동시 위협,40,32,26,6,8,0.8,101,0.0,374.68,[]
ppo,21,4,양방향 동시 위협,40,37,5,32,3,0.925,81,0.0,725.38,[]
ppo,22,4,양방향 동시 위협,40,4,3,1,36,0.1,52,0.0,-1752.67,[]
ppo,23,4,양방향 동시 위협,40,15,2,13,25,0.375,54,0.0,-911.37,[]
ppo,24,4,양방향 동시 위협,40,36,6,30,4,0.9,75,0.0,670.95,[]
ppo,25,4,양방향 동시 위협,40,40,21,19,0,1.0,79,0.0,899.09,[]
ppo,26,4,양방향 동시 위협,40,5,2,3,35,0.125,54,0.0,-1680.45,[]
ppo,27,4,양방향 동시 위협,40,34,4,30,6,0.85,78,0.0,522.3,[]
ppo,28,4,양방향 동시 위협,40,40,17,23,0,1.0,66,0.0,902.78,[]
ppo,29,4,양방향 동시 위협,40,28,22,6,12,0.7,94,0.0,51.92,[]
ppo,30,4,양방향 동시 위협,40,15,5,10,25,0.375,72,0.0,-933.3,[]
