model,episode,scenario,scenario_name,n_agents,survived,escaped_A,escaped_B,dead,survival_rate,steps_taken,mean_panic,total_reward,blocked_exits
astar,1,4,양방향 동시 위협,40,40,29,11,0,1.0,106,0.0,870.98,[]
astar,2,4,양방향 동시 위협,40,4,1,3,36,0.1,66,0.0,-1751.66,[]
astar,3,4,양방향 동시 위협,40,3,1,2,37,0.075,57,0.0,-1837.61,[]
astar,4,4,양방향 동시 위협,40,28,26,2,12,0.7,88,0.0,64.5,[]
astar,5,4,양방향 동시 위협,40,5,3,2,35,0.125,58,0.0,-1674.47,[]
astar,6,4,양방향 동시 위협,40,34,31,3,6,0.85,106,0.0,508.77,[]
astar,7,4,양방향 동시 위협,40,32,21,11,8,0.8,98,0.0,351.02,[]
astar,8,4,양방향 동시 위협,40,36,1,35,4,0.9,107,0.0,673.05,[]
astar,9,4,양방향 동시 위협,40,18,7,11,22,0.45,63,0.0,-694.04,[]
astar,10,4,양방향 동시 위협,40,9,3,6,31,0.225,55,0.0,-1385.92,[]
astar,11,4,양방향 동시 위협,40,7,2,5,33,0.175,70,0.0,-1521.76,[]
astar,12,4,양방향 동시 위협,40,7,3,4,33,0.175,87,0.0,-1536.77,[]
astar,13,4,양방향 동시 위협,40,6,1,5,34,0.15,60,0.0,-1578.09,[]
astar,14,4,양방향 동시 위협,40,38,32,6,2,0.95,107,0.0,776.17,[]
astar,15,4,양방향 동시 위협,40,34,28,6,6,0.85,118,0.0,503.73,[]
astar,16,4,양방향 동시 위협,40,38,4,34,2,0.95,137,0.0,762.96,[]
astar,17,4,양방향 동시 위협,40,9,5,4,31,0.225,78,0.0,-1378.43,[]
astar,18,4,양방향 동시 위협,40,30,29,1,10,0.75,87,0.0,207.03,[]
astar,19,4,양방향 동시 위협,40,36,2,34,4,0.9,91,0.0,671.4,[]
astar,20,4,양방향 동시 위협,40,3,2,1,37,0.075,76,0.0,-1832.14,[]
astar,21,4,양방향 동시 위협,40,39,36,3,1,0.975,104,0.0,847.98,[]
astar,22,4,양방향 동시 위협,40,40,11,29,0,1.0,107,0.0,911.92,[]
astar,23,4,양방향 동시 위협,40,2,0,2,38,0.05,64,0.0,-1917.24,[]
astar,24,4,양방향 동시 위협,40,9,4,5,31,0.225,44,0.0,-1392.47,[]
astar,25,4,양방향 동시 위협,40,40,31,9,0,1.0,113,0.0,909.16,[]
astar,26,4,양방향 동시 위협,40,40,20,20,0,1.0,98,0.0,896.3,[]
astar,27,4,양방향 동시 위협,40,9,5,4,31,0.225,55,0.0,-1391.65,[]
astar,28,4,양방향 동시 위협,40,38,2,36,2,0.95,99,0.0,789.75,[]
astar,29,4,양방향 동시 위협,40,40,33,7,0,1.0,127,0.0,895.78,[]
astar,30,4,양방향 동시 위협,40,40,20,20,0,1.0,87,0.0,898.7,[]
ppo,1,4,양방향 동시 위협,40,10,3,7,30,0.25,60,0.0,-1304.75,[]
ppo,2,4,양방향 동시 위협,40,30,25,5,10,0.75,82,0.0,197.95,[]
ppo,3,4,양방향 동시 위협,40,35,27,8,5,0.875,101,0.0,602.77,[]
ppo,4,4,양방향 동시 위협,40,38,1,37,2,0.95,101,0.0,804.7,[]
ppo,5,4,양방향 동시 위협,40,8,4,4,32,0.2,61,0.0,-1444.61,[]
ppo,6,4,양방향 동시 위협,40,40,16,24,0,1.0,76,0.0,902.3,[]
ppo,7,4,양방향 동시 위협,40,4,3,1,36,0.1,83,0.0,-1755.0,[]
ppo,8,4,양방향 동시 위협,40,32,1,31,8,0.8,73,0.0,364.01,[]
ppo,9,4,양방향 동시 위협,40,40,24,16,0,1.0,66,0.0,893.75,[]
ppo,10,4,양방향 동시 위협,40,37,2,35,3,0.925,83,0.0,701.62,[]
ppo,11,4,양방향 동시 위협,40,34,1,33,6,0.85,91,0.0,504.7,[]
ppo,12,4,양방향 동시 위협,40,16,8,8,24,0.4,82,0.0,-835.69,[]
ppo,13,4,양방향 동시 위협,40,4,2,2,36,0.1,60,0.0,-1749.21,[]
ppo,14,4,양방향 동시 위협,40,5,5,0,35,0.125,53,0.0,-1699.45,[]
ppo,15,4,양방향 동시 위협,40,40,20,20,0,1.0,78,0.0,907.47,[]
ppo,16,4,양방향 동시 위협,40,27,21,6,13,0.675,68,0.0,-29.84,[]
ppo,17,4,양방향 동시 위협,40,33,27,6,7,0.825,80,0.0,454.12,[]
ppo,18,4,양방향 동시 위협,40,25,22,3,15,0.625,80,0.0,-157.61,[]
ppo,19,4,양방향 동시 위협,40,29,27,2,11,0.725,105,0.0,155.35,[]
ppo,20,4,양방향 동시 위협,40,11,4,7,29,0.275,69,0.0,-1218.2,[]
ppo,21,4,양방향 동시 위협,40,31,29,2,9,0.775,103,0.0,303.63,[]
ppo,22,4,양방향 동시 위협,40,11,5,6,29,0.275,90,0.0,-1226.81,[]
ppo,23,4,양방향 동시 위협,40,36,2,34,4,0.9,81,0.0,685.87,[]
ppo,24,4,양방향 동시 위협,40,38,5,33,2,0.95,80,0.0,796.7,[]
ppo,25,4,양방향 동시 위협,40,38,25,13,2,0.95,92,0.0,764.11,[]
ppo,26,4,양방향 동시 위협,40,35,24,11,5,0.875,105,0.0,568.64,[]
ppo,27,4,양방향 동시 위협,40,40,20,20,0,1.0,73,0.0,904.77,[]
ppo,28,4,양방향 동시 위협,40,6,4,2,34,0.15,75,0.0,-1602.39,[]
ppo,29,4,양방향 동시 위협,40,0,0,0,40,0.0,81,0.0,-2069.55,[]
ppo,30,4,양방향 동시 위협,40,6,2,4,34,0.15,62,0.0,-1604.72,[]
