model,episode,scenario,scenario_name,n_agents,seed,survived,escaped_A,escaped_B,dead,survival_rate,steps_taken,mean_panic,total_reward,blocked_exits
static,1,4,양방향 동시 위협,40,42,38,32,6,2,0.95,90,0.0,783.4,[]
static,2,4,양방향 동시 위협,40,43,34,1,33,6,0.85,82,0.0,537.56,[]
static,3,4,양방향 동시 위협,40,44,34,4,30,6,0.85,94,0.0,516.42,[]
static,4,4,양방향 동시 위협,40,45,2,2,0,38,0.05,48,0.0,-1914.76,[]
static,5,4,양방향 동시 위협,40,46,28,22,6,12,0.7,80,0.0,43.17,[]
static,6,4,양방향 동시 위협,40,47,6,2,4,34,0.15,57,0.0,-1601.16,[]
static,7,4,양방향 동시 위협,40,48,8,7,1,32,0.2,61,0.0,-1446.51,[]
static,8,4,양방향 동시 위협,40,49,33,2,31,7,0.825,113,0.0,424.21,[]
static,9,4,양방향 동시 위협,40,50,14,5,9,26,0.35,64,0.0,-1001.74,[]
static,10,4,양방향 동시 위협,40,51,6,2,4,34,0.15,62,0.0,-1595.98,[]
static,11,4,양방향 동시 위협,40,52,35,30,5,5,0.875,80,0.0,604.62,[]
static,12,4,양방향 동시 위협,40,53,40,19,21,0,1.0,83,0.0,905.71,[]
static,13,4,양방향 동시 위협,40,54,33,27,6,7,0.825,65,0.0,436.57,[]
static,14,4,양방향 동시 위협,40,55,4,3,1,36,0.1,73,0.0,-1759.52,[]
static,15,4,양방향 동시 위협,40,56,36,32,4,4,0.9,84,0.0,679.08,[]
static,16,4,양방향 동시 위협,40,57,39,1,38,1,0.975,88,0.0,841.03,[]
static,17,4,양방향 동시 위협,40,58,38,9,29,2,0.95,94,0.0,755.31,[]
static,18,4,양방향 동시 위협,40,59,32,1,31,8,0.8,76,0.0,363.78,[]
static,19,4,양방향 동시 위협,40,60,12,7,5,28,0.3,64,0.0,-1162.22,[]
static,20,4,양방향 동시 위협,40,61,2,1,1,38,0.05,57,0.0,-1896.53,[]
static,21,4,양방향 동시 위협,40,62,30,25,5,10,0.75,94,0.0,210.42,[]
static,22,4,양방향 동시 위협,40,63,37,6,31,3,0.925,108,0.0,716.34,[]
static,23,4,양방향 동시 위협,40,64,26,2,24,14,0.65,120,0.0,-57.38,[]
static,24,4,양방향 동시 위협,40,65,10,2,8,30,0.25,68,0.0,-1320.53,[]
static,25,4,양방향 동시 위협,40,66,37,0,37,3,0.925,82,0.0,698.21,[]
static,26,4,양방향 동시 위협,40,67,32,1,31,8,0.8,92,0.0,372.24,[]
static,27,4,양방향 동시 위협,40,68,40,19,21,0,1.0,53,0.0,897.54,[]
static,28,4,양방향 동시 위협,40,69,31,20,11,9,0.775,86,0.0,280.92,[]
static,29,4,양방향 동시 위협,40,70,34,32,2,6,0.85,90,0.0,515.76,[]
static,30,4,양방향 동시 위협,40,71,31,5,26,9,0.775,81,0.0,292.13,[]
