model,episode,scenario,scenario_name,n_agents,seed,survived,escaped_A,escaped_B,dead,survival_rate,steps_taken,mean_panic,total_reward,blocked_exits
astar,1,4,양방향 동시 위협,120,42,71,63,8,49,0.5917,94,0.0,-816.6,[]
astar,2,4,양방향 동시 위협,120,43,57,7,50,63,0.475,102,0.0,-1898.21,[]
astar,3,4,양방향 동시 위협,120,44,63,10,53,57,0.525,83,0.0,-1484.19,[]
astar,4,4,양방향 동시 위협,120,45,5,4,1,115,0.0417,72,0.0,-5801.34,[]
astar,5,4,양방향 동시 위협,120,46,58,47,11,62,0.4833,90,0.0,-1759.6,[]
astar,6,4,양방향 동시 위협,120,47,14,10,4,106,0.1167,73,0.0,-5156.03,[]
astar,7,4,양방향 동시 위협,120,48,16,13,3,104,0.1333,63,0.0,-5027.38,[]
astar,8,4,양방향 동시 위협,120,49,68,13,55,52,0.5667,97,0.0,-1078.82,[]
ppo,1,4,양방향 동시 위협,120,42,66,59,7,54,0.55,100,0.0,-1149.11,[]
ppo,2,4,양방향 동시 위협,120,43,105,7,98,15,0.875,129,0.0,1904.38,[]
ppo,3,4,양방향 동시 위협,120,44,98,11,87,22,0.8167,103,0.0,1311.75,[]
ppo,4,4,양방향 동시 위협,120,45,7,5,2,113,0.0583,71,0.0,-5648.33,[]
ppo,5,4,양방향 동시 위협,120,46,52,40,12,68,0.4333,101,0.0,-2230.32,[]
ppo,6,4,양방향 동시 위협,120,47,11,9,2,109,0.0917,60,0.0,-5387.39,[]
ppo,7,4,양방향 동시 위협,120,48,14,11,3,106,0.1167,60,0.0,-5126.25,[]
ppo,8,4,양방향 동시 위협,120,49,103,10,93,17,0.8583,143,0.0,1630.69,[]
