model,episode,scenario,scenario_name,n_agents,seed,survived,escaped_A,escaped_B,dead,survival_rate,steps_taken,mean_panic,total_reward,blocked_exits
astar,1,4,양방향 동시 위협,80,42,51,45,6,29,0.6375,97,0.0,-264.67,[]
astar,2,4,양방향 동시 위협,80,43,44,5,39,36,0.55,73,0.0,-799.33,[]
astar,3,4,양방향 동시 위협,80,44,43,8,35,37,0.5375,60,0.0,-910.34,[]
astar,4,4,양방향 동시 위협,80,45,3,2,1,77,0.0375,58,0.0,-3891.09,[]
astar,5,4,양방향 동시 위협,80,46,52,36,16,28,0.65,74,0.0,-200.4,[]
astar,6,4,양방향 동시 위협,80,47,12,8,4,68,0.15,66,0.0,-3233.83,[]
astar,7,4,양방향 동시 위협,80,48,12,11,1,68,0.15,69,0.0,-3192.74,[]
astar,8,4,양방향 동시 위협,80,49,49,7,42,31,0.6125,66,0.0,-434.42,[]
ppo,1,4,양방향 동시 위협,80,42,58,50,8,22,0.725,103,0.0,292.81,[]
ppo,2,4,양방향 동시 위협,80,43,67,5,62,13,0.8375,83,0.0,988.05,[]
ppo,3,4,양방향 동시 위협,80,44,68,5,63,12,0.85,115,0.0,1075.93,[]
ppo,4,4,양방향 동시 위협,80,45,6,4,2,74,0.075,60,0.0,-3641.94,[]
ppo,5,4,양방향 동시 위협,80,46,48,37,11,32,0.6,93,0.0,-493.79,[]
ppo,6,4,양방향 동시 위협,80,47,7,5,2,73,0.0875,52,0.0,-3607.41,[]
ppo,7,4,양방향 동시 위협,80,48,8,7,1,72,0.1,61,0.0,-3504.38,[]
ppo,8,4,양방향 동시 위협,80,49,72,9,63,8,0.9,80,0.0,1325.06,[]
