model,episode,scenario,scenario_name,n_agents,seed,survived,escaped_A,escaped_B,dead,survival_rate,steps_taken,mean_panic,total_reward,blocked_exits
static,1,1,기본 탈출,20,42,20,13,7,0,1.0,67,0.0,446.87,[]
static,2,1,기본 탈출,20,43,20,6,14,0,1.0,61,0.0,437.3,[]
static,3,1,기본 탈출,20,44,20,8,12,0,1.0,55,0.0,453.45,[]
static,4,1,기본 탈출,20,45,20,15,5,0,1.0,78,0.0,446.95,[]
static,5,1,기본 탈출,20,46,20,13,7,0,1.0,82,0.0,435.07,[]
static,6,1,기본 탈출,20,47,20,12,8,0,1.0,75,0.0,458.77,[]
static,7,1,기본 탈출,20,48,20,10,10,0,1.0,81,0.0,434.99,[]
static,8,1,기본 탈출,20,49,20,9,11,0,1.0,94,0.0,451.39,[]
static,9,1,기본 탈출,20,50,20,16,4,0,1.0,62,0.0,435.24,[]
static,10,1,기본 탈출,20,51,20,3,17,0,1.0,63,0.0,432.07,[]
static,11,1,기본 탈출,20,52,20,13,7,0,1.0,76,0.0,452.45,[]
static,12,1,기본 탈출,20,53,20,7,13,0,1.0,59,0.0,433.72,[]
static,13,1,기본 탈출,20,54,20,12,8,0,1.0,55,0.0,437.99,[]
static,14,1,기본 탈출,20,55,20,6,14,0,1.0,101,0.0,431.99,[]
static,15,1,기본 탈출,20,56,20,9,11,0,1.0,50,0.0,448.24,[]
static,16,1,기본 탈출,20,57,20,13,7,0,1.0,56,0.0,432.6,[]
static,17,1,기본 탈출,20,58,20,11,9,0,1.0,73,0.0,434.62,[]
static,18,1,기본 탈출,20,59,19,10,9,1,0.95,52,0.0,378.71,[]
static,19,1,기본 탈출,20,60,20,11,9,0,1.0,66,0.0,450.88,[]
static,20,1,기본 탈출,20,61,20,7,13,0,1.0,62,0.0,458.44,[]
static,21,1,기본 탈출,20,62,20,12,8,0,1.0,67,0.0,444.35,[]
static,22,1,기본 탈출,20,63,20,10,10,0,1.0,56,0.0,449.25,[]
static,23,1,기본 탈출,20,64,20,13,7,0,1.0,90,0.0,459.53,[]
static,24,1,기본 탈출,20,65,20,13,7,0,1.0,72,0.0,422.64,[]
static,25,1,기본 탈출,20,66,20,6,14,0,1.0,50,0.0,440.8,[]
static,26,1,기본 탈출,20,67,20,13,7,0,1.0,44,0.0,450.37,[]
static,27,1,기본 탈출,20,68,20,5,15,0,1.0,88,0.0,424.82,[]
static,28,1,기본 탈출,20,69,20,10,10,0,1.0,46,0.0,438.1,[]
static,29,1,기본 탈출,20,70,20,5,15,0,1.0,73,0.0,451.73,[]
static,30,1,기본 탈출,20,71,20,16,4,0,1.0,83,0.0,441.2,[]
