model,episode,scenario,scenario_name,n_agents,seed,survived,escaped_A,escaped_B,dead,survival_rate,steps_taken,mean_panic,total_reward,blocked_exits
static,1,2,EXIT A 위협,40,42,22,6,16,18,0.55,55,0.0,-386.42,[]
static,2,2,EXIT A 위협,40,43,30,6,24,10,0.75,119,0.0,216.91,[]
static,3,2,EXIT A 위협,40,44,14,1,13,26,0.35,71,0.0,-1025.34,[]
static,4,2,EXIT A 위협,40,45,16,3,13,24,0.4,98,0.0,-862.13,[]
static,5,2,EXIT A 위협,40,46,24,2,22,16,0.6,78,0.0,-258.97,[]
static,6,2,EXIT A 위협,40,47,23,4,19,17,0.575,62,0.0,-329.23,[]
static,7,2,EXIT A 위협,40,48,13,3,10,27,0.325,54,0.0,-1113.74,[]
static,8,2,EXIT A 위협,40,49,29,7,22,11,0.725,58,0.0,135.07,[]
static,9,2,EXIT A 위협,40,50,27,11,16,13,0.675,67,0.0,-16.2,[]
static,10,2,EXIT A 위협,40,51,24,4,20,16,0.6,65,0.0,-251.61,[]
static,11,2,EXIT A 위협,40,52,16,1,15,24,0.4,75,0.0,-878.93,[]
static,12,2,EXIT A 위협,40,53,33,11,22,7,0.825,78,0.0,444.18,[]
static,13,2,EXIT A 위협,40,54,23,6,17,17,0.575,81,0.0,-347.94,[]
static,14,2,EXIT A 위협,40,55,34,6,28,6,0.85,52,0.0,529.64,[]
static,15,2,EXIT A 위협,40,56,18,4,14,22,0.45,79,0.0,-728.72,[]
static,16,2,EXIT A 위협,40,57,37,3,34,3,0.925,85,0.0,719.13,[]
static,17,2,EXIT A 위협,40,58,30,10,20,10,0.75,63,0.0,191.16,[]
static,18,2,EXIT A 위협,40,59,19,2,17,21,0.475,49,0.0,-633.11,[]
static,19,2,EXIT A 위협,40,60,21,4,17,19,0.525,53,0.0,-500.31,[]
static,20,2,EXIT A 위협,40,61,35,2,33,5,0.875,86,0.0,606.76,[]
static,21,2,EXIT A 위협,40,62,25,2,23,15,0.625,62,0.0,-170.24,[]
static,22,2,EXIT A 위협,40,63,21,2,19,19,0.525,57,0.0,-480.7,[]
static,23,2,EXIT A 위협,40,64,16,4,12,24,0.4,79,0.0,-854.98,[]
static,24,2,EXIT A 위협,40,65,22,3,19,18,0.55,66,0.0,-419.79,[]
static,25,2,EXIT A 위협,40,66,31,5,26,9,0.775,66,0.0,283.92,[]
static,26,2,EXIT A 위협,40,67,20,2,18,20,0.5,90,0.0,-565.33,[]
static,27,2,EXIT A 위협,40,68,22,3,19,18,0.55,56,0.0,-427.54,[]
static,28,2,EXIT A 위협,40,69,30,2,28,10,0.75,64,0.0,195.32,[]
static,29,2,EXIT A 위협,40,70,22,6,16,18,0.55,87,0.0,-412.46,[]
static,30,2,EXIT A 위협,40,71,11,2,9,29,0.275,67,0.0,-1263.72,[]
