model,episode,scenario,scenario_name,n_agents,seed,survived,escaped_A,escaped_B,dead,survival_rate,steps_taken,mean_panic,total_reward,blocked_exits
astar,1,1,기본 탈출,20,42,20,17,3,0,1.0,72,0.0,438.05,[]
astar,2,1,기본 탈출,20,43,20,5,15,0,1.0,60,0.0,442.48,[]
astar,3,1,기본 탈출,20,44,20,4,16,0,1.0,65,0.0,447.57,[]
astar,4,1,기본 탈출,20,45,20,17,3,0,1.0,113,0.0,424.37,[]
astar,5,1,기본 탈출,20,46,20,15,5,0,1.0,96,0.0,415.27,[]
astar,6,1,기본 탈출,20,47,20,15,5,0,1.0,90,0.0,449.06,[]
astar,7,1,기본 탈출,20,48,20,7,13,0,1.0,85,0.0,412.22,[]
astar,8,1,기본 탈출,20,49,20,10,10,0,1.0,63,0.0,459.54,[]
astar,9,1,기본 탈출,20,50,20,18,2,0,1.0,86,0.0,420.27,[]
astar,10,1,기본 탈출,20,51,20,2,18,0,1.0,91,0.0,396.7,[]
astar,11,1,기본 탈출,20,52,20,14,6,0,1.0,74,0.0,443.92,[]
astar,12,1,기본 탈출,20,53,20,4,16,0,1.0,67,0.0,433.68,[]
astar,13,1,기본 탈출,20,54,20,14,6,0,1.0,89,0.0,432.75,[]
astar,14,1,기본 탈출,20,55,20,3,17,0,1.0,102,0.0,425.85,[]
astar,15,1,기본 탈출,20,56,20,6,14,0,1.0,52,0.0,444.69,[]
astar,16,1,기본 탈출,20,57,20,16,4,0,1.0,53,0.0,430.84,[]
astar,17,1,기본 탈출,20,58,20,14,6,0,1.0,105,0.0,425.36,[]
astar,18,1,기본 탈출,20,59,19,11,8,1,0.95,101,0.0,360.79,[]
astar,19,1,기본 탈출,20,60,20,10,10,0,1.0,77,0.0,443.12,[]
astar,20,1,기본 탈출,20,61,20,8,12,0,1.0,51,0.0,455.66,[]
astar,21,1,기본 탈출,20,62,20,12,8,0,1.0,79,0.0,440.52,[]
astar,22,1,기본 탈출,20,63,20,6,14,0,1.0,71,0.0,453.7,[]
astar,23,1,기본 탈출,20,64,20,13,7,0,1.0,101,0.0,447.07,[]
astar,24,1,기본 탈출,20,65,20,15,5,0,1.0,99,0.0,417.63,[]
astar,25,1,기본 탈출,20,66,20,4,16,0,1.0,71,0.0,429.19,[]
astar,26,1,기본 탈출,20,67,20,15,5,0,1.0,65,0.0,434.72,[]
astar,27,1,기본 탈출,20,68,20,4,16,0,1.0,63,0.0,414.68,[]
astar,28,1,기본 탈출,20,69,20,10,10,0,1.0,52,0.0,424.64,[]
astar,29,1,기본 탈출,20,70,20,3,17,0,1.0,70,0.0,450.87,[]
astar,30,1,기본 탈출,20,71,20,16,4,0,1.0,92,0.0,435.66,[]
ppo,1,1,기본 탈출,20,42,20,13,7,0,1.0,50,0.0,451.47,[]
ppo,2,1,기본 탈출,20,43,20,8,12,0,1.0,56,0.0,450.32,[]
ppo,3,1,기본 탈출,20,44,20,9,11,0,1.0,47,0.0,451.88,[]
ppo,4,1,기본 탈출,20,45,20,12,8,0,1.0,67,0.0,448.84,[]
ppo,5,1,기본 탈출,20,46,20,12,8,0,1.0,58,0.0,441.95,[]
ppo,6,1,기본 탈출,20,47,20,11,9,0,1.0,67,0.0,453.44,[]
ppo,7,1,기본 탈출,20,48,20,10,10,0,1.0,64,0.0,429.17,[]
ppo,8,1,기본 탈출,20,49,20,10,10,0,1.0,72,0.0,457.85,[]
ppo,9,1,기본 탈출,20,50,20,14,6,0,1.0,50,0.0,437.96,[]
ppo,10,1,기본 탈출,20,51,20,6,14,0,1.0,44,0.0,435.2,[]
ppo,11,1,기본 탈출,20,52,20,12,8,0,1.0,59,0.0,450.82,[]
ppo,12,1,기본 탈출,20,53,20,8,12,0,1.0,59,0.0,437.57,[]
ppo,13,1,기본 탈출,20,54,20,11,9,0,1.0,62,0.0,442.17,[]
ppo,14,1,기본 탈출,20,55,20,7,13,0,1.0,59,0.0,453.9,[]
ppo,15,1,기본 탈출,20,56,20,8,12,0,1.0,45,0.0,447.1,[]
ppo,16,1,기본 탈출,20,57,20,11,9,0,1.0,45,0.0,444.19,[]
ppo,17,1,기본 탈출,20,58,20,11,9,0,1.0,77,0.0,429.59,[]
ppo,18,1,기본 탈출,20,59,19,10,9,1,0.95,74,0.0,366.05,[]
ppo,19,1,기본 탈출,20,60,20,10,10,0,1.0,77,0.0,443.12,[]
ppo,20,1,기본 탈출,20,61,20,9,11,0,1.0,61,0.0,449.59,[]
ppo,21,1,기본 탈출,20,62,20,11,9,0,1.0,71,0.0,440.73,[]
ppo,22,1,기본 탈출,20,63,20,10,10,0,1.0,61,0.0,449.79,[]
ppo,23,1,기본 탈출,20,64,20,12,8,0,1.0,60,0.0,461.27,[]
ppo,24,1,기본 탈출,20,65,20,11,9,0,1.0,85,0.0,427.1,[]
ppo,25,1,기본 탈출,20,66,20,8,12,0,1.0,51,0.0,438.86,[]
ppo,26,1,기본 탈출,20,67,20,12,8,0,1.0,50,0.0,444.48,[]
ppo,27,1,기본 탈출,20,68,20,7,13,0,1.0,53,0.0,440.35,[]
ppo,28,1,기본 탈출,20,69,20,10,10,0,1.0,52,0.0,425.37,[]
ppo,29,1,기본 탈출,20,70,20,9,11,0,1.0,97,0.0,458.94,[]
ppo,30,1,기본 탈출,20,71,20,14,6,0,1.0,114,0.0,437.06,[]
