model,episode,scenario,scenario_name,n_agents,seed,survived,escaped_A,escaped_B,dead,survival_rate,steps_taken,mean_panic,total_reward,blocked_exits
static,1,4,양방향 동시 위협,40,42,30,24,6,10,0.75,84,0.0,198.19,[]
static,2,4,양방향 동시 위협,40,43,22,2,20,18,0.55,53,0.0,-399.57,[]
static,3,4,양방향 동시 위협,40,44,19,5,14,21,0.475,62,0.0,-662.65,[]
static,4,4,양방향 동시 위협,40,45,1,1,0,39,0.025,61,0.0,-1983.01,[]
static,5,4,양방향 동시 위협,40,46,19,14,5,21,0.475,52,0.0,-640.35,[]
static,6,4,양방향 동시 위협,40,47,6,3,3,34,0.15,52,0.0,-1602.29,[]
static,7,4,양방향 동시 위협,40,48,9,8,1,31,0.225,46,0.0,-1373.25,[]
static,8,4,양방향 동시 위협,40,49,25,4,21,15,0.625,68,0.0,-186.92,[]
static,9,4,양방향 동시 위협,40,50,13,6,7,27,0.325,48,0.0,-1091.91,[]
static,10,4,양방향 동시 위협,40,51,7,2,5,33,0.175,62,0.0,-1525.35,[]
static,11,4,양방향 동시 위협,40,52,29,25,4,11,0.725,81,0.0,137.18,[]
static,12,4,양방향 동시 위협,40,53,40,19,21,0,1.0,83,0.0,905.71,[]
static,13,4,양방향 동시 위협,40,54,22,18,4,18,0.55,68,0.0,-407.93,[]
static,14,4,양방향 동시 위협,40,55,7,6,1,33,0.175,46,0.0,-1525.97,[]
static,15,4,양방향 동시 위협,40,56,30,27,3,10,0.75,70,0.0,212.35,[]
static,16,4,양방향 동시 위협,40,57,33,1,32,7,0.825,71,0.0,444.06,[]
static,17,4,양방향 동시 위협,40,58,28,8,20,12,0.7,53,0.0,42.55,[]
static,18,4,양방향 동시 위협,40,59,21,1,20,19,0.525,72,0.0,-508.12,[]
static,19,4,양방향 동시 위협,40,60,12,5,7,28,0.3,55,0.0,-1164.03,[]
static,20,4,양방향 동시 위협,40,61,3,2,1,37,0.075,69,0.0,-1830.59,[]
static,21,4,양방향 동시 위협,40,62,23,17,6,17,0.575,98,0.0,-350.16,[]
static,22,4,양방향 동시 위협,40,63,28,7,21,12,0.7,61,0.0,65.25,[]
static,23,4,양방향 동시 위협,40,64,14,2,12,26,0.35,73,0.0,-1018.2,[]
static,24,4,양방향 동시 위협,40,65,8,2,6,32,0.2,60,0.0,-1465.12,[]
static,25,4,양방향 동시 위협,40,66,29,2,27,11,0.725,59,0.0,119.98,[]
static,26,4,양방향 동시 위협,40,67,16,1,15,24,0.4,68,0.0,-886.82,[]
static,27,4,양방향 동시 위협,40,68,40,19,21,0,1.0,53,0.0,897.54,[]
static,28,4,양방향 동시 위협,40,69,22,10,12,18,0.55,60,0.0,-428.77,[]
static,29,4,양방향 동시 위협,40,70,28,25,3,12,0.7,67,0.0,55.19,[]
static,30,4,양방향 동시 위협,40,71,16,5,11,24,0.4,110,0.0,-905.23,[]
