model,episode,scenario,scenario_name,n_agents,seed,survived,escaped_A,escaped_B,dead,survival_rate,steps_taken,mean_panic,total_reward,blocked_exits
static,1,5,EXIT B 위협,40,42,34,24,10,6,0.85,102,0.0,521.83,[]
static,2,5,EXIT B 위협,40,43,18,10,8,22,0.45,64,0.0,-722.8,[]
static,3,5,EXIT B 위협,40,44,29,26,3,11,0.725,79,0.0,132.57,[]
static,4,5,EXIT B 위협,40,45,27,27,0,13,0.675,71,0.0,-35.29,[]
static,5,5,EXIT B 위협,40,46,32,20,12,8,0.8,81,0.0,349.43,[]
static,6,5,EXIT B 위협,40,47,25,17,8,15,0.625,75,0.0,-171.77,[]
static,7,5,EXIT B 위협,40,48,30,26,4,10,0.75,84,0.0,208.76,[]
static,8,5,EXIT B 위협,40,49,21,19,2,19,0.525,83,0.0,-475.54,[]
static,9,5,EXIT B 위협,40,50,25,23,2,15,0.625,72,0.0,-186.28,[]
static,10,5,EXIT B 위협,40,51,28,18,10,12,0.7,77,0.0,49.33,[]
static,11,5,EXIT B 위협,40,52,29,23,6,11,0.725,74,0.0,130.76,[]
static,12,5,EXIT B 위협,40,53,21,16,5,19,0.525,76,0.0,-473.94,[]
static,13,5,EXIT B 위협,40,54,21,17,4,19,0.525,66,0.0,-485.03,[]
static,14,5,EXIT B 위협,40,55,15,10,5,25,0.375,56,0.0,-930.44,[]
static,15,5,EXIT B 위협,40,56,30,27,3,10,0.75,77,0.0,218.01,[]
static,16,5,EXIT B 위협,40,57,14,6,8,26,0.35,69,0.0,-1028.28,[]
static,17,5,EXIT B 위협,40,58,25,22,3,15,0.625,75,0.0,-178.11,[]
static,18,5,EXIT B 위협,40,59,31,21,10,9,0.775,59,0.0,287.11,[]
static,19,5,EXIT B 위협,40,60,30,22,8,10,0.75,68,0.0,199.75,[]
static,20,5,EXIT B 위협,40,61,10,6,4,30,0.25,55,0.0,-1320.75,[]
static,21,5,EXIT B 위협,40,62,27,20,7,13,0.675,82,0.0,-32.83,[]
static,22,5,EXIT B 위협,40,63,21,18,3,19,0.525,65,0.0,-477.13,[]
static,23,5,EXIT B 위협,40,64,36,29,7,4,0.9,80,0.0,675.98,[]
static,24,5,EXIT B 위협,40,65,26,22,4,14,0.65,70,0.0,-119.77,[]
static,25,5,EXIT B 위협,40,66,19,17,2,21,0.475,54,0.0,-631.48,[]
static,26,5,EXIT B 위협,40,67,29,23,6,11,0.725,70,0.0,136.35,[]
static,27,5,EXIT B 위협,40,68,25,19,6,15,0.625,91,0.0,-186.21,[]
static,28,5,EXIT B 위협,40,69,18,14,4,22,0.45,81,0.0,-723.47,[]
static,29,5,EXIT B 위협,40,70,29,24,5,11,0.725,102,0.0,126.09,[]
static,30,5,EXIT B 위협,40,71,32,29,3,8,0.8,77,0.0,347.21,[]
