model,episode,scenario,scenario_name,n_agents,survived,escaped_A,escaped_B,dead,survival_rate,steps_taken,mean_panic,total_reward,blocked_exits
astar,1,6,중앙 경로 차단,40,38,16,22,2,0.95,99,0.0,755.69,[]
astar,2,6,중앙 경로 차단,40,36,24,12,4,0.9,78,0.0,631.95,[]
astar,3,6,중앙 경로 차단,40,34,19,15,6,0.85,69,0.0,489.35,[]
astar,4,6,중앙 경로 차단,40,35,19,16,5,0.875,80,0.0,568.09,[]
astar,5,6,중앙 경로 차단,40,27,12,15,13,0.675,74,0.0,-31.41,[]
astar,6,6,중앙 경로 차단,40,29,15,14,11,0.725,63,0.0,117.29,[]
astar,7,6,중앙 경로 차단,40,38,23,15,2,0.95,83,0.0,744.25,[]
astar,8,6,중앙 경로 차단,40,35,23,12,5,0.875,75,0.0,581.74,[]
astar,9,6,중앙 경로 차단,40,36,20,16,4,0.9,77,0.0,650.77,[]
astar,10,6,중앙 경로 차단,40,37,26,11,3,0.925,64,0.0,691.79,[]
astar,11,6,중앙 경로 차단,40,38,16,22,2,0.95,93,0.0,749.56,[]
astar,12,6,중앙 경로 차단,40,35,21,14,5,0.875,82,0.0,568.3,[]
astar,13,6,중앙 경로 차단,40,38,8,30,2,0.95,70,0.0,759.19,[]
astar,14,6,중앙 경로 차단,40,36,26,10,4,0.9,76,0.0,662.59,[]
astar,15,6,중앙 경로 차단,40,32,16,16,8,0.8,55,0.0,331.37,[]
astar,16,6,중앙 경로 차단,40,36,26,10,4,0.9,92,0.0,655.37,[]
astar,17,6,중앙 경로 차단,40,36,23,13,4,0.9,99,0.0,657.89,[]
astar,18,6,중앙 경로 차단,40,31,3,28,9,0.775,97,0.0,238.47,[]
astar,19,6,중앙 경로 차단,40,36,16,20,4,0.9,70,0.0,637.65,[]
astar,20,6,중앙 경로 차단,40,38,20,18,2,0.95,76,0.0,738.19,[]
astar,21,6,중앙 경로 차단,40,33,25,8,7,0.825,101,0.0,419.95,[]
astar,22,6,중앙 경로 차단,40,40,7,33,0,1.0,83,0.0,849.83,[]
astar,23,6,중앙 경로 차단,40,36,31,5,4,0.9,95,0.0,641.47,[]
astar,24,6,중앙 경로 차단,40,24,17,7,16,0.6,87,0.0,-267.37,[]
astar,25,6,중앙 경로 차단,40,28,23,5,12,0.7,73,0.0,28.82,[]
astar,26,6,중앙 경로 차단,40,31,9,22,9,0.775,84,0.0,268.48,[]
astar,27,6,중앙 경로 차단,40,28,19,9,12,0.7,70,0.0,52.67,[]
astar,28,6,중앙 경로 차단,40,37,29,8,3,0.925,99,0.0,703.9,[]
astar,29,6,중앙 경로 차단,40,31,23,8,9,0.775,86,0.0,260.91,[]
astar,30,6,중앙 경로 차단,40,36,10,26,4,0.9,85,0.0,651.38,[]
ppo,1,6,중앙 경로 차단,40,37,23,14,3,0.925,70,0.0,707.31,[]
ppo,2,6,중앙 경로 차단,40,32,19,13,8,0.8,70,0.0,350.07,[]
ppo,3,6,중앙 경로 차단,40,37,26,11,3,0.925,113,0.0,732.08,[]
ppo,4,6,중앙 경로 차단,40,38,19,19,2,0.95,77,0.0,764.3,[]
ppo,5,6,중앙 경로 차단,40,35,15,20,5,0.875,76,0.0,570.01,[]
ppo,6,6,중앙 경로 차단,40,40,24,16,0,1.0,83,0.0,864.51,[]
ppo,7,6,중앙 경로 차단,40,39,25,14,1,0.975,102,0.0,814.05,[]
ppo,8,6,중앙 경로 차단,40,36,20,16,4,0.9,70,0.0,656.05,[]
ppo,9,6,중앙 경로 차단,40,38,18,20,2,0.95,83,0.0,718.26,[]
ppo,10,6,중앙 경로 차단,40,34,18,16,6,0.85,63,0.0,486.81,[]
ppo,11,6,중앙 경로 차단,40,34,13,21,6,0.85,82,0.0,489.69,[]
ppo,12,6,중앙 경로 차단,40,37,18,19,3,0.925,68,0.0,694.31,[]
ppo,13,6,중앙 경로 차단,40,37,18,19,3,0.925,77,0.0,707.3,[]
ppo,14,6,중앙 경로 차단,40,34,17,17,6,0.85,67,0.0,501.32,[]
ppo,15,6,중앙 경로 차단,40,33,19,14,7,0.825,81,0.0,422.32,[]
ppo,16,6,중앙 경로 차단,40,36,18,18,4,0.9,96,0.0,646.82,[]
ppo,17,6,중앙 경로 차단,40,40,24,16,0,1.0,65,0.0,869.62,[]
ppo,18,6,중앙 경로 차단,40,37,22,15,3,0.925,80,0.0,700.96,[]
ppo,19,6,중앙 경로 차단,40,40,18,22,0,1.0,66,0.0,862.0,[]
ppo,20,6,중앙 경로 차단,40,38,21,17,2,0.95,77,0.0,734.02,[]
ppo,21,6,중앙 경로 차단,40,30,22,8,10,0.75,82,0.0,200.16,[]
ppo,22,6,중앙 경로 차단,40,40,21,19,0,1.0,65,0.0,868.41,[]
ppo,23,6,중앙 경로 차단,40,39,24,15,1,0.975,70,0.0,807.79,[]
ppo,24,6,중앙 경로 차단,40,34,17,17,6,0.85,55,0.0,510.53,[]
ppo,25,6,중앙 경로 차단,40,39,24,15,1,0.975,90,0.0,819.18,[]
ppo,26,6,중앙 경로 차단,40,36,12,24,4,0.9,87,0.0,639.19,[]
ppo,27,6,중앙 경로 차단,40,36,15,21,4,0.9,82,0.0,639.35,[]
ppo,28,6,중앙 경로 차단,40,37,24,13,3,0.925,69,0.0,703.13,[]
ppo,29,6,중앙 경로 차단,40,36,18,18,4,0.9,62,0.0,619.28,[]
ppo,30,6,중앙 경로 차단,40,32,13,19,8,0.8,75,0.0,347.79,[]
