model,episode,scenario,scenario_name,n_agents,survived,escaped_A,escaped_B,dead,survival_rate,steps_taken,mean_panic,total_reward,blocked_exits
astar,1,1,기본 탈출,20,20,18,2,0,1.0,102,0.0,449.57,[]
astar,2,1,기본 탈출,20,20,18,2,0,1.0,115,0.0,428.58,[]
astar,3,1,기본 탈출,20,20,3,17,0,1.0,72,0.0,420.93,[]
astar,4,1,기본 탈출,20,20,2,18,0,1.0,77,0.0,424.0,[]
astar,5,1,기본 탈출,20,20,14,6,0,1.0,90,0.0,420.29,[]
astar,6,1,기본 탈출,20,20,19,1,0,1.0,90,0.0,430.47,[]
astar,7,1,기본 탈출,20,20,15,5,0,1.0,90,0.0,441.77,[]
astar,8,1,기본 탈출,20,20,17,3,0,1.0,87,0.0,439.61,[]
astar,9,1,기본 탈출,20,20,18,2,0,1.0,84,0.0,429.88,[]
astar,10,1,기본 탈출,20,20,3,17,0,1.0,73,0.0,421.69,[]
astar,11,1,기본 탈출,20,20,2,18,0,1.0,72,0.0,456.56,[]
astar,12,1,기본 탈출,20,20,18,2,0,1.0,137,0.0,430.13,[]
astar,13,1,기본 탈출,20,20,14,6,0,1.0,89,0.0,452.8,[]
astar,14,1,기본 탈출,20,20,10,10,0,1.0,70,0.0,434.13,[]
astar,15,1,기본 탈출,20,20,15,5,0,1.0,112,0.0,436.58,[]
astar,16,1,기본 탈출,20,20,20,0,0,1.0,82,0.0,427.82,[]
astar,17,1,기본 탈출,20,20,18,2,0,1.0,93,0.0,419.59,[]
astar,18,1,기본 탈출,20,20,16,4,0,1.0,74,0.0,434.34,[]
astar,19,1,기본 탈출,20,20,10,10,0,1.0,63,0.0,466.23,[]
astar,20,1,기본 탈출,20,20,19,1,0,1.0,90,0.0,428.28,[]
astar,21,1,기본 탈출,20,20,5,15,0,1.0,75,0.0,420.64,[]
astar,22,1,기본 탈출,20,20,14,6,0,1.0,108,0.0,429.61,[]
astar,23,1,기본 탈출,20,20,17,3,0,1.0,103,0.0,429.37,[]
astar,24,1,기본 탈출,20,20,19,1,0,1.0,105,0.0,428.77,[]
astar,25,1,기본 탈출,20,20,11,9,0,1.0,96,0.0,431.86,[]
astar,26,1,기본 탈출,20,20,9,11,0,1.0,61,0.0,439.13,[]
astar,27,1,기본 탈출,20,20,4,16,0,1.0,66,0.0,443.07,[]
astar,28,1,기본 탈출,20,20,3,17,0,1.0,109,0.0,431.65,[]
astar,29,1,기본 탈출,20,20,18,2,0,1.0,113,0.0,422.77,[]
astar,30,1,기본 탈출,20,20,11,9,0,1.0,67,0.0,441.63,[]
ppo,1,1,기본 탈출,20,20,8,12,0,1.0,56,0.0,427.68,[]
ppo,2,1,기본 탈출,20,20,11,9,0,1.0,72,0.0,434.85,[]
ppo,3,1,기본 탈출,20,20,11,9,0,1.0,62,0.0,453.04,[]
ppo,4,1,기본 탈출,20,20,10,10,0,1.0,39,0.0,446.38,[]
ppo,5,1,기본 탈출,20,20,10,10,0,1.0,69,0.0,451.87,[]
ppo,6,1,기본 탈출,20,20,9,11,0,1.0,63,0.0,444.25,[]
ppo,7,1,기본 탈출,20,20,12,8,0,1.0,54,0.0,452.77,[]
ppo,8,1,기본 탈출,20,20,15,5,0,1.0,73,0.0,458.89,[]
ppo,9,1,기본 탈출,20,20,11,9,0,1.0,68,0.0,444.43,[]
ppo,10,1,기본 탈출,20,20,7,13,0,1.0,66,0.0,442.81,[]
ppo,11,1,기본 탈출,20,20,10,10,0,1.0,63,0.0,446.99,[]
ppo,12,1,기본 탈출,20,20,11,9,0,1.0,46,0.0,446.9,[]
ppo,13,1,기본 탈출,20,20,14,6,0,1.0,65,0.0,432.91,[]
ppo,14,1,기본 탈출,20,20,10,10,0,1.0,79,0.0,439.15,[]
ppo,15,1,기본 탈출,20,20,13,7,0,1.0,70,0.0,447.6,[]
ppo,16,1,기본 탈출,20,20,9,11,0,1.0,100,0.0,446.74,[]
ppo,17,1,기본 탈출,20,20,10,10,0,1.0,68,0.0,463.7,[]
ppo,18,1,기본 탈출,20,20,11,9,0,1.0,61,0.0,441.69,[]
ppo,19,1,기본 탈출,20,20,7,13,0,1.0,72,0.0,451.89,[]
ppo,20,1,기본 탈출,20,20,12,8,0,1.0,73,0.0,439.36,[]
ppo,21,1,기본 탈출,20,20,13,7,0,1.0,85,0.0,428.87,[]
ppo,22,1,기본 탈출,20,20,11,9,0,1.0,70,0.0,440.45,[]
ppo,23,1,기본 탈출,20,20,8,12,0,1.0,57,0.0,443.16,[]
ppo,24,1,기본 탈출,20,20,11,9,0,1.0,92,0.0,444.75,[]
ppo,25,1,기본 탈출,20,20,12,8,0,1.0,86,0.0,435.78,[]
ppo,26,1,기본 탈출,20,20,8,12,0,1.0,54,0.0,428.39,[]
ppo,27,1,기본 탈출,20,20,11,9,0,1.0,59,0.0,438.12,[]
ppo,28,1,기본 탈출,20,20,13,7,0,1.0,83,0.0,431.65,[]
ppo,29,1,기본 탈출,20,20,11,9,0,1.0,75,0.0,434.58,[]
ppo,30,1,기본 탈출,20,20,11,9,0,1.0,51,0.0,453.71,[]
