model,episode,scenario,scenario_name,n_agents,seed,survived,escaped_A,escaped_B,dead,survival_rate,steps_taken,mean_panic,total_reward,blocked_exits
astar,1,4,양방향 동시 위협,40,42,35,30,5,5,0.875,97,0.0,592.41,[]
astar,2,4,양방향 동시 위협,40,43,23,3,20,17,0.575,79,0.0,-336.11,[]
astar,3,4,양방향 동시 위협,40,44,15,5,10,25,0.375,64,0.0,-979.18,[]
astar,4,4,양방향 동시 위협,40,45,2,2,0,38,0.05,62,0.0,-1908.97,[]
astar,5,4,양방향 동시 위협,40,46,28,18,10,12,0.7,57,0.0,54.81,[]
astar,6,4,양방향 동시 위협,40,47,5,2,3,35,0.125,61,0.0,-1672.79,[]
astar,7,4,양방향 동시 위협,40,48,10,9,1,30,0.25,50,0.0,-1293.17,[]
astar,8,4,양방향 동시 위협,40,49,25,5,20,15,0.625,64,0.0,-184.36,[]
astar,9,4,양방향 동시 위협,40,50,12,5,7,28,0.3,61,0.0,-1167.33,[]
astar,10,4,양방향 동시 위협,40,51,5,2,3,35,0.125,43,0.0,-1675.08,[]
astar,11,4,양방향 동시 위협,40,52,33,29,4,7,0.825,83,0.0,456.47,[]
astar,12,4,양방향 동시 위협,40,53,40,20,20,0,1.0,76,0.0,904.5,[]
astar,13,4,양방향 동시 위협,40,54,23,17,6,17,0.575,46,0.0,-325.24,[]
astar,14,4,양방향 동시 위협,40,55,8,6,2,32,0.2,64,0.0,-1458.65,[]
astar,15,4,양방향 동시 위협,40,56,36,33,3,4,0.9,88,0.0,689.41,[]
astar,16,4,양방향 동시 위협,40,57,35,1,34,5,0.875,88,0.0,589.95,[]
astar,17,4,양방향 동시 위협,40,58,37,14,23,3,0.925,88,0.0,705.25,[]
astar,18,4,양방향 동시 위협,40,59,20,1,19,20,0.5,69,0.0,-581.02,[]
astar,19,4,양방향 동시 위협,40,60,15,6,9,25,0.375,64,0.0,-938.38,[]
astar,20,4,양방향 동시 위협,40,61,3,2,1,37,0.075,77,0.0,-1840.34,[]
astar,21,4,양방향 동시 위협,40,62,25,20,5,15,0.625,94,0.0,-182.05,[]
astar,22,4,양방향 동시 위협,40,63,26,8,18,14,0.65,73,0.0,-91.91,[]
astar,23,4,양방향 동시 위협,40,64,11,3,8,29,0.275,58,0.0,-1256.14,[]
astar,24,4,양방향 동시 위협,40,65,10,2,8,30,0.25,54,0.0,-1318.89,[]
astar,25,4,양방향 동시 위협,40,66,29,1,28,11,0.725,69,0.0,120.81,[]
