model,episode,scenario,scenario_name,n_agents,seed,survived,escaped_A,escaped_B,dead,survival_rate,steps_taken,mean_panic,total_reward,blocked_exits
astar,1,4,양방향 동시 위협,40,42,35,30,5,5,0.875,97,0.0,592.41,[]
astar,2,4,양방향 동시 위협,40,43,23,3,20,17,0.575,79,0.0,-336.11,[]
astar,3,4,양방향 동시 위협,40,44,15,5,10,25,0.375,64,0.0,-979.18,[]
astar,4,4,양방향 동시 위협,40,45,2,2,0,38,0.05,62,0.0,-1908.97,[]
astar,5,4,양방향 동시 위협,40,46,28,18,10,12,0.7,57,0.0,54.81,[]
astar,6,4,양방향 동시 위협,40,47,5,2,3,35,0.125,61,0.0,-1672.79,[]
astar,7,4,양방향 동시 위협,40,48,10,9,1,30,0.25,50,0.0,-1293.17,[]
astar,8,4,양방향 동시 위협,40,49,25,5,20,15,0.625,64,0.0,-184.36,[]
ppo,1,4,양방향 동시 위협,40,42,35,31,4,5,0.875,88,0.0,597.51,[]
ppo,2,4,양방향 동시 위협,40,43,37,5,32,3,0.925,92,0.0,726.75,[]
ppo,3,4,양방향 동시 위협,40,44,35,3,32,5,0.875,94,0.0,598.01,[]
ppo,4,4,양방향 동시 위협,40,45,2,2,0,38,0.05,57,0.0,-1905.29,[]
ppo,5,4,양방향 동시 위협,40,46,31,23,8,9,0.775,81,0.0,277.24,[]
ppo,6,4,양방향 동시 위협,40,47,7,3,4,33,0.175,52,0.0,-1525.5,[]
ppo,7,4,양방향 동시 위협,40,48,10,9,1,30,0.25,49,0.0,-1290.16,[]
ppo,8,4,양방향 동시 위협,40,49,36,5,31,4,0.9,74,0.0,659.83,[]
